dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Ltot
0 7 0 0 0 0 0 6 0 1 0 -9 0 0.0002357 0 0.0006584 0 0.0003097 0 0.0012496 0 -0.9330198 0 -1.3977698 0 0.0009037 0 0.0004566 0 0.377694 0 NaN 1414
10 5 0 0 0 0 0 5 0 0 0 -9 0 0 0 0.0009874 0 0 0 0.0016628 0 0 0 -1.1082032 0 0.000527 0 3.33e-05 0 0.4068619 0 NaN 759
11 8 0 0 0 0 0 8 0 0 0 -9 0 0 0 0.003185 0 0 0 0.00277 0 0 0 0.4550357 0 0.0053955 0 0.003803 0 0.5742845 0 NaN 729
12 4 0 0 0 1 0 2 0 1 0 -9 0 0.0014356 0 0.0011046 0 0.0011789 0 0.0010192 0 1.031937 0 0.1971204 0 0.00163 0 0.0003599 0 -0.0059512 0 NaN 743
13 6 0 0 0 0 0 6 0 0 0 -9 0 0 0 0.0026309 0 0 0 0.0021242 0 0 0 0.6808331 0 0.0023375 0 0.0010221 0 0.4705228 0 NaN 713
1 5 0 0 0 5 0 0 0 0 0 -9 0 0.003736 0 0 0 0.002727 0 0 0 2.070766 0 0 0 0.0031133 0 0.0012453 0 -0.9090909 0 NaN 803
2 7 0 0 0 1 0 6 0 0 0 -9 0 0.0003561 0 0.0008768 0 0.0004679 0 0.0016181 0 -0.9330195 0 -1.3072945 0 0.000641 0 2.46e-05 0 0.2265591 0 NaN 936
3 7 0 2 0 0 0 5 0 0 0 -9 0 0 0 0.0013836 0 0 0 0.0013052 0 0 0 0.1639194 0 0.0028956 0 0.0022038 0 0.6119261 0 NaN 967
4 5 0 0 0 1 0 4 0 0 0 -9 0 0.0004065 0 0.0009083 0 0.0005341 0 0.0012313 0 -0.9330198 0 -0.6735159 0 0.0006911 0 3.36e-05 0 0.2120169 0 NaN 820
5 3 0 0 0 0 0 0 0 3 0 -9 0 0.0020539 0 0.0017795 0 0.0016866 0 0.0009721 0 1.1241392 0 1.9545654 0 0.0018114 0 -0.0001053 0 -0.067713 0 NaN 779
6 6 0 0 0 3 0 2 0 1 0 -9 0 0.0021108 0 0.0010008 0 0.0023111 0 0.000999 0 -0.4698244 0 0.00423 0 0.0018616 0 0.0003058 0 -0.2219826 0 NaN 758
7 5 0 0 0 2 0 3 0 0 0 -9 0 0.0013962 0 0.0014263 0 0.0011465 0 0.0009912 0 1.0319377 0 1.0329784 0 0.0019197 0 0.0005085 0 0.0991494 0 NaN 764
8 7 0 0 0 0 0 6 0 1 0 -9 0 0.0004838 0 0.0029895 0 0.0006356 0 0.0025645 0 -0.9330198 0 0.4896623 0 0.0025964 0 0.0008597 0 0.3836242 0 NaN 689
