spA	spB	netDiv	nLocus	quantile_5%_alphaM1	median_alphaM1	quantile_95%_alphaM1	quantile_5%_alphaM2	median_alphaM2	quantile_95%_alphaM2	medianM1	medianM2	medianT	medianN1	medianN2	medianNanc
Anas_crecca_Adak	Anas_crecca_Attu	0.0000623	6	2.56880166264	3.25344235535	3.36705935526	1.70562790979	3.38305114421	3.67377070892	23.4262853268	22.3693677558	0.124897510379	7.91834990471	2.74845831662	3.7112640269
Armadillidium_vulgare	Armadillidium_nasatum	0.0959655	800	103.343440667	325.602431543	487.213070667	5.68148995528	31.4991284745	70.8317323852	2.48329261499	9.82400975235	3.98043510132	1.16015409872	1.41736275599	13.6613367624
Camponotus_ligniperdus	Camponotus_aethiops	0.0844423	800	3.32026670592	14.478311289	34.3611337471	3.88954454326	4.4532473593	4.77562696726	28.1842292652	29.6088593171	1.10529981965	0.00449708099747	0.41120068179	18.5523810104
rhomboidalis	rubrigularis	0.0052158	7	0.462038358861	1.31475556794	2.9042363544	0.921733544072	2.25557918219	3.71120637608	12.8784581876	7.04393778044	2.16269119623	3.49670905322	10.4126891157	8.14470966674
Crepidula_fornicata	Crepidula_plana	0.309503087242798	729	3.68233794235	12.3960204442	20.8180532849	3.03108421025	5.34364367911	7.19048165495	2.86384969718	16.2589165386	9.39965919196	1.0326900377	1.87728604943	10.7854825922
Cystodytes_dellechiajei_purple	Cystodytes_dellechiajei_blue	0.041586586728972	800	20.5885097821	403.565670294	728.547798396	61.4032402692	350.307540743	640.343188584	2.3929657063	9.23376092946	9.60590848236	1.8890159161	0.854347384724	23.0844206489
Echinocardium_mediterraneum	Echinocardium_cordatum_B2	0.245551447513624	800	6.47776264589	16.8017837662	26.5562862352	2.86181600169	14.764541901	29.9287292274	19.3636560469	8.83447136019	7.04349967234	1.579055711	4.14571207968	17.5641152023
Emys_orbicularisEUE	Emys_orbicularisEUW	0.0052107	113	3.78942977023	59.3765983567	107.180882037	1.48673175769	44.3300698279	106.271492104	11.250949514	13.0307933787	0.304694163234	0.42763072493	0.880259632897	1.02376782488
Emys_orbicularis	Trachemys_scripta	0.0405152574757282	515	65.2507455296	173.57060826	290.238120756	10.0102220425	66.7917144377	182.061335575	4.53200214269	16.5271266203	5.95571243025	0.0547045348165	0.899346842691	7.35241204813
Eudyptes_moseleyi	Aptenodytes_patagonicus	0.0541197	744	2.43755580116	69.4713621093	315.871906324	135.567253362	394.963836623	553.549594901	2.71426036966	6.4979704688	4.0113858869	0.586255219787	0.0449580811144	26.5594534766
Eunicella_cavolinii	Eunicella_verrucosa	0.0211708	541	4.495169764	266.068207384	523.899143641	431.321307923	502.63411025	526.565592298	4.1430990226	0.745904582312	18.3984761746	0.413188800439	0.671462116714	14.6456276253
Gorilla_eastern	gorilla_western	0.0008270	13	8.37469982213	9.9974486369	10.9353850146	7.03747172791	8.91505577178	10.0544157314	11.8920144437	21.706171992	4.90235414514	0.165928976872	0.323085719661	6.00995883057
Lineus_longissimus	Lineus_lacteus	0.308627866638262	800	1.54069023767	7.30338492984	15.1143761979	1.75159061255	8.66076951429	15.7672275735	16.5037737885	23.4816313476	8.84756645121	1.54738172171	1.63155272266	10.0337031879
Necora_puberATL	Necora_puberMED	0.0001505	766	120.503727099	606.605880488	756.991805031	168.607484613	506.12916905	711.865211465	13.3470730631	13.5054827307	0.365207079868	14.0541853468	8.45920415358	1.53577409415
lissotriton_vulgaris_kosswigi	lissotriton_vulgaris_vulgaris	0.0208161	7	0.474481262076	2.71266803595	4.56332504988	0.77070279421	3.53537623972	5.03548795704	6.74294108222	7.27741245862	2.87703956957	0.425577624135	0.623210268131	6.6219831019
Lutzomyia_intermedia	Lutzomyia_whitmani	0.0131239	10	0.620033350274	1.87056269324	4.44119431448	0.832452384089	2.15796458758	3.86172592742	12.367231136	14.0023463152	3.68773875123	7.98521134692	10.2449433102	6.37618687034
macaca_mulatta	macaca_fascicularis	0.0020186	16	9.04835184206	13.0352511558	14.0613329336	7.62459217226	12.7187730679	14.0027682846	2.47739315582	22.2529021833	14.6958191389	0.963056763069	17.2854308285	4.66250821658
malurus_melanocephalus_TE	malurus_melanocephalus_CY	0.0007508	34	26.9668790938	31.4446901939	32.51780741	6.01801027468	10.4627685419	15.454612712	1.55813211214	21.5793560514	9.55001916936	11.2312489232	29.6106414298	5.17470197111
Melitaea_cinxiaEUR	Melitaea_cinxiaMAR	0.0214649	462	6.02319904228	56.9087795843	219.026978152	1.40072693587	184.626035876	452.930652199	21.7919756886	7.9828594842	2.12174910566	2.16995841519	0.462303070321	1.93320609184
Melitaea_cinxia	Mellicta_athalia	0.1159250	680	12.1085948338	54.4976070368	105.70497929	13.4878913742	23.9767923626	31.5054291129	5.96994388384	22.4019793304	4.61722757522	0.897692751401	2.63888770676	9.81756977991
Messor_barbarus	Messor_structor	0.0454563	800	39.8369167625	334.490839862	599.761854253	2.30032332111	26.5087397752	95.8679121274	0.476171308346	23.4036269907	4.71458563606	0.120578534323	0.985090758313	14.2358798491
Mus_domesticus	Mus_musculus	0.0076779	57	9.77008564066	19.3039107217	27.8106541335	0.70752940086	5.49739821158	15.289983555	0.220796971117	0.402715525733	13.3925891298	3.94638928446	3.31920982322	0.110879894952
Oryctolagus_algirus	Oryctolagus_cuniculus	0.0025938	10	1.86264186531	4.00861650032	7.33337773423	3.48431053679	5.26845038586	7.14304068995	10.0671490241	21.9014985057	5.5754327486	6.09701782104	26.1993502988	26.4806606846
Parus_caeruleusCOR	Parus_caeruleusCON	0.0007700	160	157.333367116	158.67414206	158.912281661	0.256261680251	130.252645005	158.977647877	14.2545237138	5.68957314509	5.06165696253	5.65456775885	1.9693546481	3.48582267528
Physa_acuta	Physa_gyrina	0.124804567647059	800	5.06497825404	23.1096679797	43.0665093821	24.8774860455	45.1134257231	64.4463996529	12.3310359213	11.1537318385	3.29523946168	2.96101610426	0.444668367173	13.982408027
Reticulitermes_grassei	Reticulitermes_flavipes	0.0248765	800	1.27914879259	194.973446111	717.72677312	0.0853339492908	8.4955048957	152.86039568	8.41108047478	29.3458056794	0.337113191891	0.00954488404878	0.739360827486	17.5980826323
Anas_crecca_Shemya	Anas_crecca_Adak	0.0000746	6	2.97202600569	3.83870826858	4.04022994097	2.58638388098	3.88498725216	4.15089387215	11.727995797	8.96806881668	4.77274487047	1.68311838955	0.648411361172	5.11833377901
Anas_crecca_Shemya	Anas_crecca_Attu	0.0003488	6	3.43697430861	3.78130385911	3.85688179849	1.62163993847	3.51423446873	3.92751577157	12.8162536641	12.8851398317	0.652570540462	2.61733972244	0.363152672268	2.1881870258
Thymelicus_sylvestris	Thymelicus_lineola	0.1694972	800	0.800404317834	14.3258724616	70.550437301	1.50153705896	18.5160119558	67.8989460818	15.5824166262	25.7446726831	5.21913051027	1.67340486902	2.07669834974	11.3651409607
Hippocampus_guttulatusCRO	Hippocampus_guttulatusTHA	0.0006909	135	43.9536935907	121.151465787	133.494738514	114.13448299	122.830350309	127.920234752	17.3688890853	17.9693673242	5.43432039539	0.0762837784513	0.468758105417	1.69059509359
Hippocampus_guttulatusPOR	Hippocampus_guttulatusCRO	0.0040808	188	168.131774956	184.471603717	186.541292977	42.7360879007	129.436359712	175.826014213	14.2511772666	6.22155076452	10.4793328211	1.15341815864	0.0388954709066	15.3522262931
Hippocampus_guttulatusPOR	Hippocampus_guttulatusTHA	0.0038104	117	83.3140519407	109.345220647	114.892559987	85.0667394684	105.1927465	112.346632797	8.23353362338	20.2672088691	24.1642673649	0.213797185131	0.0456015179817	12.6032932673
Hippocampus_hippocampus	Hippocampus_guttulatusTHA	0.0471220	800	42.3898643793	204.506156602	394.331878781	113.429841739	414.863767121	599.079670822	12.6738701002	0.45766938194	5.05468957442	0.83287027884	0.0596457879886	9.17409878264
Lepus_granatensisESP	Lepus_granatensisPOR	0.0001201	176	18.6903932906	130.17860803	171.344397094	26.2885218036	117.698649356	164.030118062	16.4866904544	9.37764306536	0.0777689789569	7.00944133154	4.24812644269	0.815998971732
Mytilus_galloprovincialis	Mytilus_edulis	0.0188683	800	128.484020902	304.654589632	435.454666654	149.840674214	421.486332006	658.117668037	9.59851301865	7.35582018371	4.16069093102	2.92311380088	2.73462057254	2.97513461883
Mytilus_galloprovincialisATL	Mytilus_galloprovincialisMED	0.0041588	800	81.4567073443	445.114750495	733.81278918	132.13194478	391.891923515	629.775961303	13.8718408659	19.4907918934	1.60067228067	6.04997103167	1.80590629166	2.69124456404
Ostrea_edulisATLdan	Ostrea_edulisATLfr	0.0000534	95	1.66963410462	34.588590215	88.6710767904	14.2588124023	77.1951734644	92.5995778461	10.3426900657	18.0264873291	0.0396789782604	8.33229903525	17.7914073143	0.801528643164
Ostrea_edulisATL	Ostrea_edulisMED	0.0001008	95	10.7058827007	66.649800096	92.1282007618	6.05363252354	56.7300283903	89.7979235008	9.51362049919	18.3699828151	0.0654545257753	9.60947467053	13.4866966379	0.836097602462
Ostrea_edulisMED	Ostrea_chilensis	0.0673444	277	0.841446433586	24.7298390188	160.822975746	7.33192017379	38.3477474125	90.4862762382	11.844022063	7.93981937779	4.18351258295	0.554989992081	0.197419363826	2.91987582072
