spA	spB	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi	pSIv1	pSIv2	pIMHomov1	pIMHomov2	pIMHeterov1	pIMHeterov2	pAMHomov1	pAMHomov2	pAMHeterov1	pAMHeterov2	pSCHomov1	pSCHomov2	pSCHeterov1	pSCHeterov2	pPanmixiav1	pPanmixiav2
Anas_crecca_Adak	Anas_crecca_Attu	14.167	13.075	0	0	2.5	2.074	2	1.673	9.667	12.307	-9	0	0.0087131	0.0120359	0.0073654	0.0095468	0.0099229	0.0109106	0.0085699	0.0093781	-0.6928613	0.8260794	-0.7200568	0.5999197	0.0081016	0.0107659	0.0000623	0.0001562	-0.0115423	0.0380294	0.9960512	0	0.001	0.00016	0.00295	0.00001	0.00038	0	0.00025	0	0.00013	0.00015	0.00263	0.00001	0.00058	0.00138	0.99037
Armadillidium_vulgare	Armadillidium_nasatum	19.586	21.04	10.699	14.964	4.323	5.515	4.398	5.43	0.168	0.463	1.646	12.882	0.0197903	0.0194326	0.0201239	0.0188453	0.0194748	0.0188171	0.0200736	0.018553	-nan	-nan	-nan	-nan	0.1159225	0.0901745	0.0959655	0.0880782	0.7111652	0.1918133	0.2988234	0.01254	0.01527	0	0.00001	0.0002	0.0001	0.33532	0.18486	0.36794	0.08345	0	0.00003	0.00007	0.0002	0	0
Camponotus_ligniperdus	Camponotus_aethiops	14.157	12.013	12.881	11.191	0.441	1.237	0.821	1.748	0.014	0.227	-8.171	3.995	0.001764	0.0055142	0.0031146	0.0082927	0.001706	0.0052324	0.0030222	0.0075115	0.0401232	0.5353477	-0.0061729	0.6129761	0.0868817	0.0705961	0.0844423	0.0701345	0.9515955	0.0869114	0.3770808	0.0086	0.087	0.00001	0.00001	0.00003	0.00041	0.04911	0.48762	0.03624	0.33046	0.00001	0.00001	0.00003	0.00047	0	0
rhomboidalis	rubrigularis	20.714	9.673	0.143	0.378	3.429	2.44	16	8.165	1.143	2.035	-9	0	0.0072155	0.0079483	0.0179197	0.0154301	0.0069488	0.0054556	0.0182596	0.0074334	-0.1709003	0.8263907	-0.3804086	1.0328413	0.0177834	0.0132117	0.0052158	0.003696	0.2865686	0.0874789	0.9174424	0.1006	0.03301	0.00004	0.00012	0.00509	0.0038	0.3347	0.10051	0.32552	0.08858	0.00007	0.00017	0.00438	0.00342	0	0
Crepidula_fornicata	Crepidula_plana	37.6172839506	32.1461767381	30.5596707819	26.5625855996	3.0891632373	3.7367355864	3.8545953361	4.8793953285	0.1138545953	0.4152816941	4.8765432099	15.2683365211	0.0176481889	0.0173658995	0.0220556316	0.0213579643	0.0180696086	0.0173260255	0.0221319908	0.0210997153	-0.1972997906	0.6091482575	-0.0652850088	0.702759985	0.3293549979	0.1083522023	0.3095030872	0.107301483	0.8951508291	0.0838397854	0.1383046752	0.27009	0.11111	0.00001	0.00001	0.0003	0.00023	0.18646	0.06625	0.26193	0.10152	0.00002	0.00003	0.00133	0.00071	0.00001	0.00001
Cystodytes_dellechiajei_purple	Cystodytes_dellechiajei_blue	10.3308411215	8.1870525385	2.3925233645	4.3688507938	2.3763239875	2.8937744207	5.3221183801	4.3790440836	0.2398753894	0.6772374671	-7.0895119418	5.6075876758	0.0168745806	0.0180553262	0.0385339461	0.0229809187	0.0165400837	0.0173720505	0.0349211849	0.0214320658	0.0911735786	0.8701350997	1.0246255937	0.9168487384	0.0692908516	0.079271537	0.0415865867	0.0785808575	0.407443745	0.2169793528	0.1448906518	0.07501	0.00288	0.01251	0.00001	0.00056	0.00166	0.57187	0.01794	0.30583	0.00993	0.00001	0.00003	0.00043	0.00134	0	0
Echinocardium_mediterraneum	Echinocardium_cordatum_B2	25.4829700272	19.2541077146	16.2070844687	13.8336194271	2.5214577657	2.7326437368	6.5361035422	6.4170814699	0.2183242507	0.5656415017	5.889986376	13.1081397342	0.0215743728	0.0212975683	0.0510851669	0.0351157021	0.0218857777	0.0214487013	0.0517861613	0.0350893222	-0.1018241141	0.7361120702	-0.1534576364	0.6225090777	0.2818812167	0.1267070977	0.2455514475	0.1268900092	0.7798063159	0.1358609809	0.1881634207	0.0229	0.03722	0	0	0.00016	0.00012	0.42496	0.0326	0.44127	0.03502	0.00003	0.00418	0.00052	0.00102	0	0
Emys_orbicularisEUE	Emys_orbicularisEUW	2.761	1.351	0.23	0.535	0.796	0.937	1.531	1.24	0.204	0.503	-9	0	0.0058615	0.0075856	0.0101291	0.0080887	0.0057986	0.0074269	0.0096714	0.0074228	0.0383907	0.7738937	0.3156628	1.0414456	0.0132061	0.008996	0.0052107	0.0071208	0.2539835	0.2473216	-0.0197552	0.01045	0.00849	0.02557	0.00989	0.18144	0.13377	0.25469	0.05756	0.0369	0.02362	0.01581	0.00653	0.13557	0.09796	0.0009	0.00085
Emys_orbicularis	Trachemys_scripta	5.9436893204	5.2714942599	3.2640776699	4.2946182585	0.772815534	1.0608155382	1.8912621359	2.1742706097	0.0155339806	0.1237837967	-8.0660194175	3.9711398896	0.0046913427	0.006488064	0.0113588194	0.0133801035	0.0045350433	0.0062291283	0.0112031441	0.012486192	0.1474288701	0.7802905064	-0.0186033438	0.7417777363	0.0485403384	0.0700386013	0.0405152575	0.0702025744	0.6857133241	0.2471255645	-0.0233998872	0.00857	0.01395	0.00005	0.00001	0.00391	0.00072	0.45652	0.13282	0.32647	0.05284	0.00005	0.00002	0.00322	0.00085	0	0
Eudyptes_moseleyi	Aptenodytes_patagonicus	7.683	9.243	5.897	8.421	1.019	2.687	0.759	1.139	0.008	0.089	-7.958	4.33	0.0045252	0.0098294	0.0031114	0.0049386	0.0046056	0.0103906	0.003158	0.0049604	0.0027206	0.6643526	-0.0566303	0.5781453	0.057938	0.1082153	0.0541197	0.1081775	0.8541526	0.1700593	-0.0332416	0.00223	0.01816	0.00086	0.00012	0.01676	0.01336	0.42006	0.1462	0.24883	0.08865	0.00016	0.00009	0.02223	0.02219	0.00008	0.00001
