dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
0	28.741	25.223	1.359	4.391	11.116	12.623	7.628	8.593	8.638	10.966	-6.360	8.534	0.1324193	0.0774800	0.1103448	0.0794477	0.1339594	0.0788020	0.1111236	0.0800500	-0.0660427	0.7001658	-0.0447665	0.7520815	0.1428258	0.0839506	0.0214439	0.0615064	0.0624898	0.1906583	0.5413862
1	64.213	44.511	4.466	9.659	20.858	18.385	22.133	19.235	16.756	18.467	-0.608	16.729	0.2505820	0.0949665	0.2622463	0.0885638	0.2515419	0.0947049	0.2630318	0.0875115	-0.0355681	0.6266210	-0.0363562	0.6028824	0.3355365	0.1312487	0.0791226	0.1479115	0.1155523	0.2201251	0.3777941
2	58.240	41.603	4.543	10.451	18.961	17.752	18.009	16.482	16.726	19.752	-1.756	15.257	0.2382989	0.1036397	0.2329235	0.1070511	0.2384609	0.1027332	0.2318219	0.1053827	-0.0038541	0.6935710	0.0380308	0.6948760	0.3145645	0.1526453	0.0789533	0.1613975	0.1133671	0.2373717	0.4097135
3	33.346	25.915	1.758	6.309	13.440	13.421	9.372	10.361	8.776	10.969	-6.131	9.188	0.1501567	0.0843369	0.1237286	0.0858168	0.1508448	0.0828211	0.1231052	0.0829717	-0.0514967	0.7464719	0.0110022	0.8094695	0.1739348	0.1031238	0.0369922	0.0849995	0.1003287	0.1960332	0.4331002
4	31.322	29.063	8.466	13.715	13.490	15.511	4.551	6.364	4.815	9.154	3.100	17.469	0.1271474	0.0884331	0.0643590	0.0781879	0.1274419	0.0879441	0.0641647	0.0775563	-0.0397255	0.7551023	0.0421112	0.8396717	0.2201597	0.1681233	0.1244064	0.1594326	0.2732147	0.3429131	0.3955494
5	53.157	36.217	3.244	9.781	13.582	13.194	20.126	18.924	16.205	15.621	-3.880	14.214	0.2049555	0.1100115	0.2452340	0.0816658	0.2041194	0.1095603	0.2469085	0.0814399	0.0456983	0.7007104	-0.0647564	0.5936577	0.2737461	0.0995192	0.0486515	0.1195323	0.0927134	0.2206456	0.2795944
6	43.584	31.123	0.148	1.008	12.797	12.646	13.394	13.550	17.246	15.488	-8.800	2.117	0.2034916	0.1009192	0.2062053	0.0990128	0.2039343	0.0986287	0.2060076	0.0975258	-0.0523869	0.6968749	0.0138995	0.7494373	0.2087130	0.0861123	0.0038647	0.0442628	0.0107114	0.1127345	0.4940025
7	29.248	26.752	1.357	7.353	8.991	10.790	9.351	11.534	9.549	9.323	-6.980	10.123	0.1272947	0.0746295	0.1305293	0.0742610	0.1265559	0.0726153	0.1301590	0.0720945	0.0286721	0.8161157	-0.0081375	0.7664353	0.1487154	0.1097007	0.0198034	0.0855284	0.0328371	0.1624499	0.4518762
8	26.444	20.701	1.150	5.319	9.133	9.912	6.778	7.578	9.383	10.681	-7.224	7.016	0.1230542	0.0705763	0.1102848	0.0738416	0.1231881	0.0689712	0.1101795	0.0720254	-0.0328477	0.7629592	-0.0409985	0.7833562	0.1342418	0.0755867	0.0175724	0.0643868	0.0537524	0.1985190	0.4395508
9	21.658	29.741	9.447	19.585	6.577	11.406	3.052	3.645	2.582	4.573	-0.713	16.677	0.0620022	0.0585013	0.0394831	0.0405727	0.0625001	0.0587387	0.0392297	0.0398496	-0.0980937	0.7865691	0.0217036	0.8953676	0.1791534	0.2321112	0.1284108	0.2194598	0.2248513	0.3739281	0.2775446
10	60.506	44.652	8.244	16.864	17.377	15.116	20.111	19.559	14.774	17.504	3.257	22.743	0.2191200	0.1026300	0.2337959	0.0990766	0.2197686	0.1023239	0.2344168	0.0977155	-0.0265880	0.6904112	-0.0425750	0.6975278	0.3468763	0.1805097	0.1204184	0.2039830	0.1641576	0.2782396	0.4308966
11	37.780	28.029	0.902	2.883	13.621	13.299	11.943	10.636	11.314	11.693	-7.044	6.569	0.1670756	0.0704845	0.1570414	0.0702783	0.1683888	0.0710402	0.1578833	0.0709112	-0.0652753	0.6493410	-0.0377527	0.6901709	0.1847285	0.0826033	0.0226699	0.0641174	0.0527628	0.1573394	0.4360800
12	67.630	45.574	2.900	8.373	21.821	17.831	20.872	16.535	22.037	22.132	-4.061	13.489	0.2931675	0.1009868	0.2883278	0.0992845	0.2935610	0.1001577	0.2894037	0.0990869	-0.0151949	0.6322588	-0.0421723	0.6148913	0.3398238	0.1151717	0.0490762	0.1324183	0.0706004	0.1894500	0.4465418
13	8.421	6.494	0.022	0.235	3.148	2.926	3.418	3.391	1.834	2.323	-9.000	0.000	0.0330781	0.0220628	0.0343085	0.0205828	0.0338575	0.0218691	0.0354586	0.0214559	-0.2437124	0.6553068	-0.2469962	0.6985261	0.0347150	0.0182153	0.0010217	0.0073702	0.0154620	0.1034661	0.4076536
14	34.094	27.033	5.728	8.934	4.993	7.387	18.697	19.126	4.677	11.083	-1.139	12.159	0.0638760	0.0859409	0.1571719	0.0969088	0.0635627	0.0843489	0.1567205	0.0949216	-0.0268885	0.8618953	-0.0117251	0.8307113	0.2126810	0.1184669	0.1021570	0.1134706	0.3134668	0.2854460	0.1399817
15	49.518	35.329	4.229	7.946	18.287	17.571	17.015	17.123	9.987	14.198	-2.466	12.113	0.1929661	0.1091658	0.1858926	0.1038804	0.1923280	0.1060926	0.1842538	0.1005269	-0.0185430	0.7932922	0.0503139	0.8121158	0.2816043	0.1306902	0.0921751	0.1232625	0.1832144	0.2299702	0.2483684
