N shape1Ne shape2Ne propNtrlNe dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
15.23551 19.33897 65.9634 274 0 42.586 27.283 0 0 7.158 5.878 6.96 5.768 28.468 19.443 -9 0 0.0100609 0.0069953 0.009995 0.0070198 0.0100419 0.0065823 0.0099861 0.0065617 -0.0341573 0.7423232 -0.0312294 0.7519442 0.0100432 0.0069771 1.53e-05 0.0004084 0.000314 0.0183657 0.9715179 2.66501419516464e-05 2.66521848226474e-05 2.66592026727789e-05 2.66556471310592e-05 2.66526750489068e-05 2.66555048756686e-05 0.000910120890967627 2.66576656381478e-05 0.00373786083506729 2.66534281331855e-05 0.000944780879242111 2.66592079737661e-05 0.00378610559332251 2.66548521905942e-05 0.990327924124827 2.66571661354667e-05 0.000159925356502707 0.999840074643498 1
21.79579 5.92826 39.24639 428 1 81.06 32.258 0 0 13.76 8.538 13.366 7.528 53.934 23.326 -9 0 0.0193087 0.0086429 0.0191944 0.0086614 0.0191209 0.0079529 0.0190036 0.0078468 0.0163173 0.5938426 0.0075327 0.6122898 0.019276 0.0085647 2.44e-05 0.0006151 6.97e-05 0.0154675 0.9550196 4.06010671622386e-05 4.05963134893101e-05 4.05934028615966e-05 4.05949716175287e-05 5.11384736932851e-05 4.05944696865676e-05 0.000587253608212085 4.05940269074645e-05 0.010905144510066 4.05872589033767e-05 7.22323025368758e-05 4.06022484914262e-05 0.00575081698470537 4.05994607997181e-05 0.982227457525318 4.059337554963e-05 0.000254118698510527 0.99974588130149 1
8.79669 19.12239 95.59897 159 2 15.982 15.856 0 0 2.54 3.099 2.776 3.522 10.666 11.255 -9 0 0.0037306 0.0039554 0.0037878 0.0040042 0.0037224 0.003764 0.0037889 0.0038766 -0.0416289 0.8605844 -0.0304415 0.8751633 0.0037535 0.0039478 -5.6e-06 0.0002139 0.0008409 0.0250445 0.9777705 2.41922558968124e-05 2.41959571736658e-05 2.41925138390338e-05 2.42007188563648e-05 0.000760422982355451 2.41932738449792e-05 2.41939158876606e-05 2.41966888971791e-05 0.00148281834398077 2.41965769208933e-05 2.41977380761113e-05 2.41884649976771e-05 0.000452974812674089 2.41992243873733e-05 0.997013434439875 2.42020923371896e-05 0.000881397701966307 0.999118602298034 1
17.67048 0.49204 177.87594 95 3 14.466 30.311 0 0 2.388 5.61 2.442 5.587 9.636 20.591 -9 0 0.0034279 0.0073985 0.0033825 0.0072523 0.0033892 0.0071841 0.0034044 0.0071627 0.0058889 0.3719576 -0.028125 0.3730733 0.0034165 0.0073294 1.13e-05 0.0002959 0.0030087 0.0243906 0.9895278 1.07299301517328e-05 1.07298257399546e-05 1.07297397515782e-05 1.07298504487875e-05 1.07300056313229e-05 1.0730000868257e-05 1.07300780647494e-05 1.07297132318978e-05 1.14131585339648e-05 1.07298082727129e-05 1.07299054658495e-05 1.0729691105272e-05 1.07295821015777e-05 1.07297700025832e-05 0.999838369176263 1.07297643663075e-05 6.4379352591633e-05 0.999935620647408 1
0.48298 11.58539 154.88264 346 4 1.462 1.583 0 0 0.232 0.52 0.252 0.534 0.978 1.306 -9 0 0.0003497 0.0004635 0.0003349 0.0004584 0.0003411 0.0004071 0.0003467 0.0004051 0.0244855 0.6835514 -0.0549173 0.7553264 0.0003421 0.0004511 -1e-07 2.69e-05 0.0002245 0.0283623 0.9189573 1.77484084900032e-05 1.75419881750649e-05 1.77340026316284e-05 1.77687683026464e-05 1.77496055937598e-05 1.77462665572252e-05 1.77567344678039e-05 1.7804369651208e-05 1.77120803352611e-05 1.77409675552286e-05 1.76601958581365e-05 1.7753776277131e-05 1.77113479375964e-05 1.77461584559544e-05 0.980631046650438 0.0191207786792733 0.000106289039750328 0.99989371096025 1
6.44789 11.40079 158.36096 92 5 6.62 10.851 0 0 1.138 2.144 1.096 2.097 4.386 7.673 -9 0 0.001547 0.0027191 0.0015149 0.0026741 0.001557 0.0026079 0.0015452 0.0026122 -0.0471892 0.8420733 -0.0306085 0.8133656 0.0015242 0.0026673 -6.8e-06 0.000102 -0.0008087 0.0234596 0.9837987 1.16955557672024e-05 1.16959827963978e-05 1.16963412564551e-05 1.1696309383742e-05 1.16958830974249e-05 1.16964539597119e-05 1.1695989610388e-05 1.16962345780524e-05 1.1696617425977e-05 1.16966147006999e-05 1.16962984051173e-05 1.16965734523546e-05 1.1696474900551e-05 1.16968557514525e-05 0.999824555732586 1.16960823281583e-05 7.01765262609341e-05 0.999929823473739 1
21.75379 0.11069 14.87053 328 6 60.476 45.482 0 0 9.838 8.845 10.086 9.05 40.552 31.502 -9 0 0.0142029 0.0111981 0.014347 0.0112908 0.0142034 0.010825 0.0142733 0.0108701 -0.0075923 0.4546754 0.0096296 0.4827966 0.0142484 0.0111541 -2.65e-05 0.0004985 -0.0006558 0.0153511 0.9833164 1.1055311649732e-05 1.10553495400129e-05 1.10555856347528e-05 1.10547129085895e-05 1.10555230569511e-05 1.1055406998686e-05 1.10555796108006e-05 1.1056309928405e-05 7.63591953163216e-05 1.10559498844562e-05 1.10562768663075e-05 1.10554928060612e-05 1.10552959270604e-05 1.10556408259668e-05 0.999768863046702 1.10553223435402e-05 6.63318897887243e-05 0.999933668110211 1
21.53579 19.40028 153.93556 198 7 42.27 40.565 0 0 7.45 8.226 6.782 7.688 28.038 27.51 -9 0 0.0099264 0.0098433 0.0098692 0.0098051 0.0100143 0.0096891 0.0098231 0.0095455 -0.0647825 0.7684366 0.0249404 0.7870626 0.0099258 0.0098219 2.8e-05 0.0004662 0.0015828 0.02124 0.9836155 0.00133063755996226 5.91895659680181e-05 5.91657777951186e-05 5.91720807049943e-05 0.00237406897148305 5.91738650543115e-05 0.000666150448792212 5.91654956038438e-05 0.00523606604227687 5.91750626512272e-05 0.000294177580536923 5.9176309439319e-05 0.00507989869289328 5.91652198899464e-05 0.984486438202845 5.91791241040674e-05 0.00394140782096775 0.996058592179033 1
23.34682 11.91699 198.20972 450 8 89.266 32.644 0 0 14.398 8.047 14.622 8.006 60.246 24.554 -9 0 0.0213351 0.0091013 0.0213407 0.0089865 0.021178 0.0082479 0.0212253 0.0081157 0.0103843 0.5926445 0.0012546 0.5965436 0.0213607 0.0089604 2.28e-05 0.0007075 0.0003275 0.0155136 0.9559099 2.42282948095604e-05 2.42287571097012e-05 2.42283858221714e-05 2.42372899280904e-05 2.42306995957656e-05 2.42328559451548e-05 0.000376488705709217 2.42249707638515e-05 0.00192860563730978 2.42337486756381e-05 6.37274154294456e-05 2.42305525567101e-05 0.00485008908735937 2.42199232404635e-05 0.99251456415132 2.42295244256157e-05 0.000145386283210444 0.99985461371679 1
21.66594 16.00442 132.56585 219 9 45.648 42.155 0 0 7.544 7.843 7.68 8.22 30.424 28.842 -9 0 0.0107583 0.0102932 0.0107867 0.0103498 0.010702 0.0099728 0.0107404 0.0100338 -0.0175349 0.7219675 -0.0139779 0.6677526 0.0107747 0.0103159 2.2e-06 0.0004519 0.0003188 0.0195251 0.9860303 1.58778396451431e-05 1.58781853739266e-05 1.58784051477799e-05 1.58816871800277e-05 1.58803672442591e-05 1.58787324558224e-05 1.5878515350741e-05 1.58804971818615e-05 0.00102656811892834 1.58785984281394e-05 1.58775735186087e-05 1.58781658937658e-05 0.000628070449530203 1.58794800362339e-05 0.998138932842095 1.58805419902143e-05 9.52752170469588e-05 0.999904724782953 1
