N1 N2 Na Tsplit M1 M2 shape1M1 shape2M1 shape1M2 shape2M2 propNtrlM1 propNtrlM2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
28.13442 6.40001 0.89298 0.5 1.61062 1.61062 3.71594 120.06591 2.83902 146.5085 249 249 0 18.284 4.443 0 0 8.962 3.046 6.588 2.708 2.734 2.08 -9 0 0.0018985 0.0007806 0.0017728 0.0008291 0.0032967 0.0009588 0.0026276 0.0009439 -1.5148764 0.5178302 -1.1078893 0.6399164 0.0019193 0.0007925 8.37e-05 0.0001564 0.0206065 0.0293504 0.6778951 0.00342216561185573 0.059775775053897 0.0106794084805163 0.164659672182313 0.0134592172811008 0.0580246093673092 0.00988431378458562 0.140491160430612 0.00384672491780626 0.00707024753128615 0.0199601964285495 0.458295414418076 0.00147958369324577 0.0486423986244416 0.000155831709620966 0.00015328048478371
8.79741 5.36636 24.76509 0.5 10.611 10.611 10.95569 149.92939 4.5447 63.83493 101 101 1 95.924 18.067 0 0 21.77 10.108 15.904 7.355 58.25 16.808 -9 0 0.0239177 0.0069178 0.0227419 0.0065297 0.0227666 0.0052466 0.0210726 0.0051713 0.1801593 0.5328997 0.317885 0.6164392 0.0248944 0.0067806 0.0015647 0.0019178 0.033247 0.0383609 0.7894356 9.71270569399324e-05 0.000663397907002302 0.000650128750293502 0.0219215449184793 0.000854543933488313 0.00267783597240712 0.00114063321726219 0.486691010977149 0.000198952543136299 0.00443784205222473 0.00263164123407655 0.468458207378486 0.000740134419556866 0.00864252944299512 9.72148881607835e-05 9.72553083420886e-05
16.97553 9.92876 26.3791 0.5 3.77281 3.77281 18.22748 135.13823 0.5937 191.53308 407 407 2 107.072 19.27 0 0 21.146 8.273 18.168 7.158 67.754 16.93 -9 0 0.0266876 0.0074636 0.0258346 0.0066826 0.0264535 0.0060099 0.0253508 0.0054888 0.0152716 0.4881349 0.0710711 0.5089103 0.0267675 0.0069826 0.0005064 0.0010578 0.009822 0.0193763 0.8731141 0.000179490684522907 0.0420015536320938 0.000510880496076508 0.075645557410275 0.000616535911849114 0.0651730226836909 0.050567076941082 0.350510259661469 0.000574508851219582 0.15151373619391 0.0125700006958509 0.173397415653495 0.0038200911640687 0.0725601352445668 0.00017948065996839 0.000180254115860533
12.23506 25.59683 17.21604 0.5 25.96587 25.96587 1.64736 150.39267 3.09036 70.83043 324 324 3 80.056 15.533 0 0 15.816 5.499 17.848 7.335 46.392 13.747 -9 0 0.0169485 0.0049126 0.017502 0.0051675 0.0175346 0.0040108 0.0181073 0.0042494 -0.155353 0.5624854 -0.1632168 0.5377812 0.0175283 0.004994 0.0003031 0.0008415 0.0090485 0.0230916 0.8776447 0.000585838916045247 0.00562661512565072 0.000369824304878479 0.0621173190010899 0.000529059621766344 0.00986698302855902 0.00533711503171316 0.248444339904401 0.00121660974155142 0.00512458886808911 0.00733135461486383 0.641946024109041 9.89824844686052e-05 0.0112073446405032 9.87752255393553e-05 9.92253818388772e-05
11.14792 0.63147 16.96184 0.5 23.58744 23.58744 12.66527 22.60332 12.40876 41.94274 382 382 4 42.698 13.304 0 0 7.966 7.596 3.198 4.382 31.534 12.482 -9 0 0.0124272 0.0049812 0.0115118 0.0050455 0.0111338 0.0037857 0.0097899 0.0035556 0.4428484 0.964067 0.6590458 1.0976475 0.0123157 0.0048896 0.0003462 0.0008937 0.0146637 0.0344534 0.7963533 0.000179011847201136 0.000178493289942001 0.000179281653619547 0.00108973840221362 0.000768176137207044 0.00409876286876454 0.00260864154507447 0.136236699042759 0.00526862443551174 0.4299997823264 0.0109240460383261 0.153771556567544 0.0222749914602424 0.23206424235289 0.000178966217325194 0.000178985814980162
10.82258 17.8568 3.38956 0.5 2.09228 2.09228 7.13468 8.89314 2.46428 145.21419 59 59 5 27.69 6.518 0 0 8.424 3.423 10.02 3.648 9.246 4.512 -9 0 0.0040553 0.0017691 0.0041884 0.0017282 0.0049806 0.0015249 0.0054305 0.0016114 -0.7462059 0.6636105 -0.8934529 0.6348559 0.0042489 0.0017268 0.000127 0.000239 0.015596 0.0258291 0.8449031 0.00227709928277165 0.0203600258085832 0.106397530410937 0.102414804110563 0.00172591166342302 0.0964616467273706 0.0153129953340548 0.157767122844857 0.00086174350456297 0.0171711725331341 0.0275030874946584 0.39159535150541 0.018215378598783 0.0416032273903683 0.000169017740344613 0.000163885050177691
3.3402 11.95668 2.18812 0.5 15.60988 15.60988 17.27607 190.13651 12.62995 44.91302 367 367 6 18.658 5.033 0 0 5.04 2.534 6.078 2.768 7.54 3.689 -9 0 0.0028463 0.001283 0.0029189 0.0013241 0.0035459 0.0012296 0.0038385 0.001248 -0.7134876 0.729988 -0.8989659 0.6877109 0.0029394 0.0012682 5.68e-05 0.0001614 0.0098577 0.0252295 0.824876 0.0011050652185539 0.0115797663453939 0.00202816988768578 0.0342210622157351 0.00194065517625728 0.0387460180022541 0.0181721529297267 0.363010480658083 0.00521291846478212 0.0536842343682405 0.00948050498266001 0.32272755307519 0.0238594036072134 0.113980894638152 0.000125401172216727 0.000125719257855462
3.79335 0.04898 0.23632 0.5 7.12768 7.12768 13.14282 109.40795 16.25346 41.57788 396 396 7 4.01 2.114 0.02 0.166 3.424 2.056 0.242 0.522 0.324 0.704 -9 0 0.0006983 0.0004684 0.0001489 0.000255 0.0010564 0.0005769 0.0001595 0.0002507 -0.9189085 0.6999075 -0.0341765 0.6289131 0.0006353 0.0005418 0.0002117 0.0003738 0.1264175 0.1684086 0.119053 0.00193157443221543 0.000202199780637748 0.00349037058329518 0.000244927441322325 0.0224113635562737 0.538681036388287 0.0114479449880862 0.0133009148493172 0.117377885412845 0.0769873371039555 0.0119069133430435 0.00552067011896952 0.0975414866924741 0.0985672766666638 0.000200458722065314 0.00018763992054908
24.26825 14.94983 1.80636 0.5 27.96947 27.96947 10.72471 191.18953 2.0271 139.37801 457 457 8 23.002 5.003 0 0 8.204 2.881 8.368 2.94 6.43 3.096 -9 0 0.0026645 0.0010889 0.0026798 0.0010653 0.0041249 0.0011559 0.0041711 0.0011833 -1.316725 0.5813901 -1.3304435 0.541917 0.0026817 0.0010371 9.5e-06 9.25e-05 0.0015762 0.0148352 0.8205319 6.24978807081432e-05 0.000236043758685677 0.000892867014662518 0.00788545567995979 0.000407016286791639 0.0213702094487983 0.00151576522714714 0.179164227020672 0.00445989747169061 0.349288907787983 0.00177426927591283 0.051366845697685 0.00310236659751541 0.378349098966014 6.22445659727834e-05 6.2287319801596e-05
14.38802 18.52152 22.23571 0.5 2.88526 2.88526 13.90132 194.47177 11.73103 182.9128 490 490 9 99.016 16.436 0 0 18.434 7.198 19.884 7.274 60.698 15.057 -9 0 0.0222288 0.0059152 0.0224418 0.0057502 0.0223985 0.0045701 0.0227908 0.0045801 -0.0536082 0.5375665 -0.0833318 0.5019346 0.0226596 0.0056853 0.0003243 0.0008551 0.0073597 0.0180871 0.8565109 0.000425893192582956 0.0564919773157007 0.000101891737390611 0.116433248170859 0.00051004621728205 0.190252815912528 0.000668715277375006 0.155009345233067 0.000347517602367201 0.158118253287456 0.000796478807064566 0.137781109451575 0.00144463930193554 0.181411609201074 0.000103094045059471 0.000103365246683503
