N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 M1 M2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
20.45278 15.44154 15.80066 0.5 10.17178 51.2343 281 254 11.48963 11.48963 0 28.496 19.112 0 0 7.132 4.822 6.652 4.769 14.712 14.163 -9 0 0.0055855 0.0053609 0.0054472 0.0051313 0.0061571 0.0047277 0.0060219 0.0046006 -0.5866523 0.8011585 -0.5556332 0.8192141 0.0055569 0.005218 4.05e-05 0.0002814 0.0042386 0.0185469 0.9613488 0.00100954807532663 7.61758697655642e-05 0.00155288659031666 7.6356128816307e-05 0.00420937577996701 7.6531197075276e-05 0.0245633013438247 7.64903704913818e-05 0.397156624819347 7.63854767214425e-05 0.026824951146867 7.6473983292072e-05 0.543170542479452 7.62150199630889e-05 0.000902084638231163 7.60570805428194e-05
11.93428 4.52132 26.13576 0.5 1.63912 95.02617 427 39 24.12148 24.12148 1 7.972 15.823 0 0 3.016 6.873 0.898 2.896 4.058 11.729 -9 0 0.0018305 0.0044101 0.0014885 0.004257 0.0019939 0.0040869 0.0013969 0.0037007 -0.5275884 1.0282234 -0.0175126 0.9262426 0.0017737 0.004486 0.0001142 0.0007873 0.0344381 0.0733297 0.9149729 0.00149035846458221 0.000133745420157687 0.00282551957989191 0.000134378872557654 0.0025292511736872 0.00013447784246653 0.0828216582127029 0.00033147608570803 0.116536208019888 0.000584071589017316 0.134566704611992 0.000984866145731679 0.653400501880757 0.00325594311792364 0.000135210983430519 0.000135627999504942
10.28773 6.60312 10.96622 0.5 2.13014 178.29136 122 65 9.52344 9.52344 2 3.354 6.164 0.01 0.1 1.488 2.85 0.81 2.004 1.046 3.892 -9 0 0.0005955 0.0014312 0.0004948 0.0015222 0.0007143 0.0014807 0.0005232 0.0013745 -0.2282727 0.9580238 -0.0636874 0.8226303 0.0006803 0.0015296 0.0001351 0.000352 0.1195727 0.1932457 0.811096 7.05950851031219e-05 7.07375483800397e-05 0.00067858694621065 7.05710126379137e-05 0.00304759458077144 7.05697410890892e-05 0.204537751928366 7.05974486734749e-05 0.33575856342795 7.06263057380889e-05 0.179672917695529 7.06896421590916e-05 0.27559819498694 7.06945441604555e-05 7.0671227264857e-05 7.06378790259282e-05
13.02439 21.02886 26.56947 0.5 19.5062 85.14867 278 172 23.01322 23.01322 3 91.094 27.208 0 0 12.804 8.514 12.982 8.585 65.308 22.266 -9 0 0.0238691 0.0084831 0.0238711 0.0082572 0.0222649 0.0072609 0.0222773 0.0071511 0.2662309 0.6239337 0.2726113 0.6454004 0.0239592 0.0082073 8.91e-05 0.0008295 0.0020977 0.0177044 0.9262805 7.83521962477902e-05 7.83512322998999e-05 8.99193445376867e-05 7.83638528017181e-05 7.83209162008258e-05 7.83038496434432e-05 0.00574666046484905 7.83084132809034e-05 0.447962587742671 7.83483499261897e-05 0.0295304970816546 7.83466358486529e-05 0.515118183135383 7.82761969456133e-05 0.000768901149670403 7.82794380398621e-05
6.41336 15.54143 5.82837 0.5 5.60366 149.98065 107 211 8.21225 8.21225 4 8.584 8.314 0 0 1.804 2.921 3.318 3.948 3.462 5.068 -9 0 0.0014138 0.0020511 0.0016742 0.0020554 0.0014843 0.0018851 0.0019111 0.0019411 -0.1465149 1.0483375 -0.4286807 1.0970587 0.0017296 0.0021473 0.0001856 0.0004923 0.0516081 0.0820308 0.7924515 0.00471191826104859 0.000154815505647215 0.0311409696056985 0.000154673276432862 0.0131657760700132 0.000154956057089718 0.27015890911598 0.000154743341518765 0.121473373032022 0.00015474895476163 0.131989865500034 0.00015466898265043 0.42596646220723 0.000154852092009249 0.000154647956478742 0.000154620041385285
20.06706 18.51648 23.00421 0.5 14.60058 59.21993 398 183 1.99436 1.99436 5 35.098 20.286 0 0 10.392 5.588 8.234 4.74 16.472 15.258 -9 0 0.0067888 0.0057438 0.006464 0.0054076 0.0075721 0.0050994 0.0069639 0.0049589 -0.5504918 0.7483984 -0.3822819 0.772093 0.006821 0.0056951 0.0001945 0.0004132 0.0151068 0.0247841 0.9575823 0.00616032688794393 0.000157423539392549 0.105564658354407 0.000157708370920228 0.532567401459489 0.000158453936981291 0.0881984444739701 0.000155760992971023 0.0861793895740405 0.000156731220975989 0.0899074554695812 0.000158568391725547 0.0900062439222696 0.000156855117606492 0.000156292532145395 0.000158285755579535
26.93876 9.99895 27.51554 0.5 11.28689 184.03217 36 311 19.17766 19.17766 6 55.986 35.668 0 0 6.79 7.251 7.48 7.788 41.716 29.045 -9 0 0.0158106 0.0110068 0.0156637 0.0111085 0.0137287 0.0091163 0.0139165 0.0092997 0.4224702 1.0074375 0.307725 1.0541825 0.0159334 0.0109662 0.0001962 0.0009717 0.0082922 0.0291408 0.9491993 6.41841000886086e-05 6.44321015519904e-05 6.42987699745558e-05 6.42843239060146e-05 0.0011765846678224 6.42035242858036e-05 0.0107872348958205 6.42625955579612e-05 0.554173406417887 6.4348373877175e-05 0.0745094310342516 6.43233699666032e-05 0.35864596275595 6.43362091681904e-05 6.43900295192883e-05 6.43168303726277e-05
10.23369 0.08795 8.14728 0.5 3.31393 62.03179 456 200 20.96725 20.96725 7 2.314 3.03 0 0 1.602 2.299 0.146 0.453 0.566 1.656 -9 0 0.0004423 0.0008058 0.0002155 0.0006417 0.0006111 0.000817 0.0002007 0.000501 -0.6073428 0.8435889 0.0209914 0.5952124 0.0003846 0.0007945 5.57e-05 0.0001771 0.0439976 0.093492 0.6985155 0.000148993891904937 0.00014765769964003 0.000148421794773273 0.00014726217320217 0.000148798062558224 0.000149376009446138 0.688350484556107 0.00193713040195611 0.0333709138672992 0.0147251712008553 0.159625517220992 0.00310028787401477 0.0725810289145411 0.0251212733594226 0.000148536181129392 0.000149146792157362
6.35683 18.8794 2.34342 0.5 1.21841 183.04157 33 439 7.17307 7.17307 8 6.356 5.529 0.004 0.063 0.638 1.87 4.88 3.87 0.834 1.941 -9 0 0.0003454 0.0007762 0.0010178 0.0010035 0.0004149 0.0009699 0.0016106 0.0012831 -0.0710168 0.7387136 -1.0146948 0.8839698 0.0008489 0.0009218 0.0001673 0.000332 0.0953697 0.1461541 0.53171 0.000472419095164724 0.00010188988883346 0.00358420203475942 0.000102054995474407 0.00423174820390457 0.000102068547873591 0.291249379241644 0.00085144596125161 0.115088649123339 0.000170193146173284 0.169936194305484 0.000535944040382956 0.413267412516593 0.000102436895317541 0.000101946655320456 0.000102015348483749
11.50301 12.45545 13.23906 0.5 16.28731 91.46449 25 106 3.03858 3.03858 9 21.636 15.816 0 0 4.148 3.689 5.524 4.784 11.964 12.308 -9 0 0.004805 0.0048543 0.0050477 0.0050459 0.0045415 0.0038841 0.0049293 0.0040773 -0.0582737 0.9686546 -0.1873731 0.9871957 0.0053175 0.0051762 0.0003912 0.00072 0.0404729 0.0536013 0.9298612 0.00930091656473799 0.000239544918372247 0.0818070037143146 0.000244578260096262 0.186496730040066 0.000235019159556097 0.116057081407417 0.00129901582460132 0.191010556654402 0.000910778197929554 0.0902539015499744 0.000636513232361908 0.316722551503397 0.00429595149548108 0.000246838895086726 0.000243018582206047
