N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
28.03855 1.17521 25.30734 0.5 19.40325 193.15332 363 250 0 57.076 38.623 1.352 3.15 44.406 33.361 3.5 5.121 7.818 14.135 -7.132 6.241 0.0151873 0.011822 0.0040447 0.0066949 0.0150355 0.0107025 0.0033244 0.0050995 -0.2105033 0.9674135 0.2907893 1.0748281 0.0169655 0.0127988 0.0073495 0.0070914 0.2839722 0.1732559 0.4406485 0.589023555840949 3.94891552598177e-05 0.359019294177301 0.000169704003402252 0.0457784875224561 3.94635999281465e-05 0.00130552387803926 6.47416002834307e-05 0.000427847895094616 3.96886442902471e-05 0.00370644646276339 9.14913745377995e-05 0.000175822906305824 3.95031471138359e-05 3.94579816024443e-05 3.94818106725936e-05
8.37605 3.20736 4.51545 0.5 1.25892 119.77762 366 260 1 10.042 6.73 0.526 1.363 6.09 5.269 3.074 3.838 0.352 1.533 -8.886 1.473 0.0011467 0.0014893 0.0007368 0.0011814 0.0018158 0.0016454 0.0009657 0.0012467 -1.034108 0.8650987 -0.4755428 0.7346134 0.0017488 0.00212 0.000807 0.0016332 0.2457881 0.3150746 0.1850215 0.772204513793466 6.06075492022564e-05 0.206378585780069 6.05233718456858e-05 0.0130451604731669 6.04966275172979e-05 0.00279104734637701 0.000220131178105644 0.00127448680875687 6.04641943929291e-05 0.00303677385893791 7.56834429218598e-05 0.00055010248368544 6.05003011754324e-05 6.04559497933277e-05 6.0466840586809e-05
10.70371 22.1311 12.63888 0.5 15.02724 151.73151 248 98 2 42.476 17.024 0.612 2.133 15.446 11.974 14.796 11.338 11.622 10.869 -8.082 4.195 0.0079469 0.0056069 0.0083471 0.0049193 0.0076296 0.0051212 0.0074464 0.0042344 0.1394211 1.1168789 0.4379567 1.101299 0.0126916 0.0057516 0.0045446 0.0042952 0.2248055 0.1843962 0.3300692 0.375010136567101 0.00022741333943285 0.351811824780649 0.000877811754194859 0.128330833340551 0.000226767964698348 0.0561286845468823 0.000228246917802792 0.0018993527653687 0.000229325976065275 0.0823558854772504 0.000225911813512777 0.00176089320066425 0.000228662723032404 0.000228959895810719 0.000229288936984074
27.22074 4.28271 0.04317 0.5 6.68662 13.61223 317 383 3 12.722 3.746 0 0 7.928 2.87 4.778 2.466 0.016 0.141 -9 0 0.0009848 0.00038 0.0008533 0.0004624 0.0022392 0.0008082 0.0013513 0.0006971 -1.8273736 0.4063571 -0.9986457 0.7529604 0.0010028 0.0003602 8.38e-05 9.99e-05 0.0397466 0.042914 0.0430685 0.470389894906273 0.121279787153326 0.110415864509605 0.0177144112384864 0.143450859890639 0.0233735814562111 0.00203094953243994 0.00169472667766648 0.00139664538223097 0.000863675629118132 0.00415903321155725 0.00286909159251533 0.00144973421474314 0.0987156971993961 9.83054784842699e-05 9.77419273066513e-05
15.05716 27.23565 19.40583 0.5 13.56615 159.18097 424 237 4 31.466 27.106 0.056 0.457 12.51 11.158 9.386 8.039 9.514 15.48 -8.932 1.12 0.0056609 0.0071868 0.0050362 0.0064546 0.0062079 0.0065143 0.0053273 0.0058351 -0.6971087 0.9324681 -0.4483019 1.064914 0.0064638 0.0079872 0.0011152 0.0025309 0.090306 0.1137073 0.8774183 0.309515991616575 0.000157475128998399 0.171714006222455 0.000157502943009325 0.464427767727632 0.000157498400370437 0.0208855892741964 0.000157475770177469 0.00279682111686721 0.000157478892233582 0.0249427873089993 0.000157312989832349 0.0042997948479911 0.00015753842136059 0.00015748879040146 0.000157470548900405
2.02191 20.25045 22.42174 0.5 8.88522 79.60843 307 144 5 62.68 24.15 2.462 5.382 10.912 12.483 35.676 24.02 13.63 15.801 -5.318 8.595 0.0085148 0.0083831 0.0156691 0.0080424 0.0069176 0.0065171 0.0138979 0.0072661 0.5562274 1.0302348 0.5543663 1.0561991 0.0221769 0.0093383 0.0100849 0.0079169 0.3055779 0.1998764 0.1315143 0.732040103077118 0.000199525628851763 0.138870595496086 0.00134130412878301 0.0835897705389325 0.000198903194610224 0.0143873890005768 0.000958005079463967 0.00103111365166356 0.00019893603357625 0.0241777149160935 0.000871766100132136 0.00153653448214186 0.000199475636432044 0.000199587539738309 0.000199275495800445
29.5525 17.49975 9.7699 0.5 5.64998 151.78821 402 204 6 18.88 14.779 0.16 0.606 11.464 10.099 4.942 4.704 2.314 6.888 -8.97 0.671 0.0028094 0.0039781 0.0016378 0.0028482 0.0038836 0.0037399 0.0020452 0.0027847 -1.2813357 0.9668592 -0.6180266 1.0870616 0.0030399 0.0041474 0.0008162 0.0018081 0.1303706 0.1775336 0.6333119 0.583820845371792 0.000179685538363296 0.302601207344848 0.000180269955914556 0.0785357821394721 0.000180171416444516 0.00846899353739566 0.000179717760334906 0.00142178211218837 0.000179554664805354 0.0196021274120651 0.000179406409054463 0.00393131684942704 0.000179835222861001 0.000179804400235375 0.000179499864798707
29.50501 0.44167 26.10393 0.5 10.60316 49.80638 202 410 7 61.714 34.694 2.188 3.77 54.356 32.86 1.984 2.807 3.186 8.78 -5.352 8.553 0.0171281 0.010767 0.001625 0.0038046 0.0162193 0.0095074 0.0014573 0.0030371 0.0818444 0.849077 0.1282551 1.0601605 0.0196352 0.0126033 0.0102586 0.008182 0.3447554 0.1442473 0.2195954 0.682959239735012 7.20908698528727e-05 0.201569996053052 0.00018199227119229 0.0849145263256222 7.22910784296236e-05 0.00453979840546099 0.000240768273878107 0.00223101475194066 7.22094325003947e-05 0.0149221003366164 0.000282929785705094 0.00772445755950987 7.21892866211276e-05 7.23155504544763e-05 7.20802841518545e-05
4.95991 26.45665 23.0672 0.5 5.00199 134.37606 490 142 8 34.012 32.983 0.522 2.354 18.124 21.155 7.55 9.467 7.816 15.536 -8.32 3.679 0.0078715 0.0097416 0.0042687 0.0068669 0.0073117 0.0079899 0.0043312 0.0064832 -0.3590321 0.9840285 -0.2151301 1.1935745 0.0095635 0.0116034 0.0034934 0.0060726 0.1739747 0.1626596 0.6145278 0.340602215112246 0.000237152870471728 0.231103595634996 0.000237454440227652 0.249787408376916 0.000237079733758867 0.0547262292702487 0.000237104650667709 0.00924772431390157 0.000237187569767699 0.0493951914562482 0.000237095931133154 0.0630031897835659 0.000237118354111921 0.000237157761474022 0.000237094740264544
4.19893 15.61109 29.17016 0.5 12.31771 22.19554 267 443 9 86.328 32.579 0.07 0.602 11.956 7.717 40.478 21.867 33.824 20.503 -8.876 1.644 0.0157599 0.009473 0.0221891 0.0103046 0.013417 0.0077509 0.0213995 0.0089846 0.6608954 1.0353559 0.0799204 0.6116922 0.0240877 0.0110676 0.0051132 0.0046274 0.1221808 0.0896055 0.6728523 0.431770084872544 0.000106369459633033 0.358273259801934 0.00036471838160296 0.169762883276097 0.000106298024726028 0.0156125788806495 0.000447229728672862 0.00120480215564983 0.000106274201317966 0.0176762191101356 0.000992030183994996 0.00301429578845445 0.000350137371382499 0.000106337242005766 0.000106481521199525
