dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10027 2 0 0 0 2 0 0 0 0 0 -9 0 0.0212121 0 0 0 0.0198347 0 0 0 0.5915791 0 0 0 0.0136364 0 0.0030303 0 0.1403509 0 NaN 55
Contig10104 3 0 0 0 2 0 1 0 0 0 -9 0 0.0122807 0 0.0052632 0 0.0114833 0 0.0057416 0 0.5915791 0 -0.6123716 0 0.0105263 0 0.0017544 0 0.1025641 0 NaN 95
Contig10161 11 0 0 0 6 0 2 0 3 0 -9 0 0.0473684 0 0.0263158 0 0.0516746 0 0.0287081 0 -0.8294262 0 -0.7968436 0 0.0565789 0 0.0197368 0 0.234375 0 NaN 95
Contig10197 6 0 0 0 4 0 2 0 0 0 -9 0 0.0515873 0 0.0277778 0 0.0519481 0 0.025974 0 -0.0650096 0 0.5915791 0 0.0595238 0 0.0198413 0 0.2222222 0 NaN 42
Contig10227 5 0 1 0 2 0 2 0 0 0 -9 0 0.0078431 0 0.0068627 0 0.0064171 0 0.0064171 0 1.893054 0 0.5915791 0 0.0161765 0 0.0088235 0 0.4067796 0 NaN 170
Contig10246 2 0 1 0 1 0 0 0 0 0 -9 0 0.0075758 0 0 0 0.0082645 0 0 0 -0.6123711 0 0 0 0.0189394 0 0.0151515 0 0.6956522 0 NaN 66
Contig1029 2 0 0 0 1 0 1 0 0 0 -9 0 0.0106383 0 0.0106383 0 0.0116054 0 0.0116054 0 -0.6123716 0 -0.6123716 0 0.0106383 0 0 0 0 0 NaN 47
Contig10325 2 0 0 0 1 0 0 0 1 0 -9 0 0.0416667 0 0.0277778 0 0.0454545 0 0.0227273 0 -0.7098949 0 1.6329906 0 0.03125 0 -0.0034722 0 -0.0606062 0 NaN 24
Contig1033 8 0 1 0 6 0 1 0 0 0 -9 0 0.0275482 0 0.0055096 0 0.0270473 0 0.0045079 0 0.1796903 0 1.6329898 0 0.0289256 0 0.0123967 0 0.3 0 NaN 121
Contig1036 11 0 2 0 8 0 1 0 0 0 -9 0 0.0471014 0 0.0054348 0 0.0474308 0 0.0059289 0 -0.068672 0 -0.6123711 0 0.0570652 0 0.0307971 0 0.4011799 0 NaN 92
