dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10752 5 0 0 0 3 0 1 0 1 0 -9 0 0.0058333 0 0.0025 0 0.0054545 0 0.0027273 0 0.6501015 0 -0.7098949 0 0.005625 0 0.0014583 0 0.1666667 0 NaN 400
Contig11215 2 0 0 0 1 0 0 0 1 0 -9 0 0.0533333 0 0.0266667 0 0.0436364 0 0.0218182 0 1.8930532 0 1.6329898 0 0.04 0 0 0 0 0 NaN 25
Contig11232 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0106383 0 0 0 0.0116054 0 0 0 -0.7098954 0 0.0053191 0 0 0 0 0 NaN 94
Contig11239 4 0 0 0 2 0 2 0 0 0 -9 0 0.0103245 0 0.0088496 0 0.0096541 0 0.0096541 0 0.5915791 0 -0.7098949 0 0.0199115 0 0.0103245 0 0.3809524 0 NaN 113
Contig11526 3 0 0 0 1 0 1 0 1 0 -9 0 0.0035971 0 0.0047962 0 0.0039241 0 0.0039241 0 -0.7098949 0 1.893054 0 0.0044964 0 0.0002998 0 0.0392156 0 NaN 278
Contig1155 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0089286 0 0 0 0.0097403 0 0 0 -0.7544492 0 0.0044643 0 0 0 0 0 NaN 168
Contig11711 2 0 0 0 1 0 1 0 0 0 -9 0 0.0031847 0 0.0031847 0 0.0034742 0 0.0034742 0 -0.6123711 0 -0.6123711 0 0.0031847 0 0 0 0 0 NaN 157
Contig11815 7 0 0 0 4 0 2 0 1 0 -9 0 0.0283688 0 0.0212766 0 0.0290135 0 0.0174081 0 -0.2124918 0 2.0118663 0 0.0265957 0 0.0017731 0 0.0392157 0 NaN 94
Contig12185 3 0 0 0 0 0 2 0 1 0 -9 0 0.0032258 0 0.011828 0 0.0035191 0 0.0105572 0 -0.6123711 0 1.0897616 0 0.0104839 0 0.002957 0 0.1833334 0 NaN 155
Contig12197 6 0 0 0 2 0 4 0 0 0 -9 0 0.0091743 0 0.0183486 0 0.0100083 0 0.0200167 0 -0.7098949 0 -0.7801219 0 0.0137615 0 0 0 0 0 NaN 109
Contig12296 6 0 0 0 1 0 2 0 3 0 -9 0 0.0204082 0 0.0306122 0 0.0222635 0 0.0278293 0 -0.7801219 0 0.9562117 0 0.0229592 0 -0.002551 0 -0.0606061 0 NaN 98
Contig12340 5 0 0 0 0 0 4 0 1 0 -9 0 0.0043478 0 0.0231884 0 0.0047431 0 0.0237154 0 -0.6123716 0 -0.2124918 0 0.0130435 0 -0.0007246 0 -0.0310076 0 NaN 115
