dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10002 20 0 16 0 4 0 0 0 0 0 -9 0 0.0222222 0 0 0 0.0242424 0 0 0 -0.7801219 0 0 0 0.1944444 0 0.1833333 0 0.9041096 0 NaN 90
Contig10036 22 0 18 0 4 0 0 0 0 0 -9 0 0.0363636 0 0 0 0.0396694 0 0 0 -0.7801223 0 0 0 0.3636364 0 0.3454545 0 0.9156626 0 NaN 55
Contig10070 18 0 16 0 2 0 0 0 0 0 -9 0 0.02 0 0 0 0.0218182 0 0 0 -0.7098949 0 0 0 0.34 0 0.33 0 0.9496403 0 NaN 50
Contig10077 28 0 27 0 0 0 1 0 0 0 -9 0 0 0 0.015873 0 0 0 0.012987 0 0 0 1.6329906 0 0.6547619 0 0.6468254 0 0.978979 0 NaN 42
Contig10086 121 0 113 0 4 0 4 0 0 0 16 0 0.007722 0 0.007722 0 0.008424 0 0.008424 0 -0.7801219 0 -0.7801219 0 0.4517375 0 0.4440154 0 0.9704641 0 NaN 259
Contig10121 32 0 28 0 4 0 0 0 0 0 -9 0 0.0261044 0 0 0 0.026287 0 0 0 -0.0650096 0 0 0 0.3584337 0 0.3453815 0 0.9379687 0 NaN 83
Contig10140 28 0 23 0 4 0 1 0 0 0 9 0 0.0367232 0 0.0112994 0 0.03698 0 0.009245 0 -0.0650107 0 1.6329906 0 0.4279661 0 0.4039548 0 0.9057799 0 NaN 59
Contig10157 29 0 27 0 2 0 0 0 0 0 -9 0 0.0144928 0 0 0 0.0158103 0 0 0 -0.7098949 0 0 0 0.3985507 0 0.3913043 0 0.9686099 0 NaN 69
Contig10193 57 0 56 0 1 0 0 0 0 0 -9 0 0.0027473 0 0 0 0.002997 0 0 0 -0.6123711 0 0 0 0.3118132 0 0.3104396 0 0.9923161 0 NaN 182
Contig1020 167 0 144 0 19 0 4 0 0 0 42 0 0.0274674 0 0.0065177 0 0.0289487 0 0.0060945 0 -0.5238806 0 0.6501026 0 0.4322626 0 0.41527 0 0.9331764 0 NaN 358
Contig10207 48 0 43 0 4 0 1 0 0 0 9 0 0.0189125 0 0.0035461 0 0.0154739 0 0.0038685 0 2.0803261 0 -0.6123716 0 0.320922 0 0.3096927 0 0.940332 0 NaN 141
Contig10243 17 0 16 0 1 0 0 0 0 0 -9 0 0.0104167 0 0 0 0.0085227 0 0 0 1.6329906 0 0 0 0.2578125 0 0.2526042 0 0.9651741 0 NaN 64
Contig1025 62 0 56 0 3 0 3 0 0 0 13 0 0.009434 0 0.009434 0 0.0102916 0 0.0102916 0 -0.7544498 0 -0.7544498 0 0.3647799 0 0.3553459 0 0.9556025 0 NaN 159
Contig10297 90 0 77 0 13 0 0 0 0 0 16 0 0.0295815 0 0 0 0.0306966 0 0 0 -0.3674903 0 0 0 0.3625541 0 0.3477633 0 0.9307265 0 NaN 231
Contig10343 55 0 48 0 7 0 0 0 0 0 13 0 0.0249433 0 0 0 0.025974 0 0 0 -0.3892076 0 0 0 0.3435374 0 0.3310658 0 0.9381526 0 NaN 147
Contig1035 8 0 7 0 1 0 0 0 0 0 -9 0 0.0266667 0 0 0 0.0218182 0 0 0 1.6329898 0 0 0 0.3 0 0.2866667 0 0.9247312 0 NaN 25
Contig10389 14 0 14 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4666667 0 0.4666667 0 1 0 NaN 30
Contig10404 65 0 60 0 5 0 0 0 0 0 9 0 0.0205128 0 0 0 0.020979 0 0 0 -0.212491 0 0 0 0.4807692 0 0.4705128 0 0.9632546 0 NaN 130
Contig10414 23 0 19 0 4 0 0 0 0 0 -9 0 0.0198413 0 0 0 0.017316 0 0 0 1.3652138 0 0 0 0.1686508 0 0.1587301 0 0.9014084 0 NaN 126
Contig10424 50 0 40 0 6 0 4 0 0 0 19 0 0.0175439 0 0.0126706 0 0.0191388 0 0.0127592 0 -0.8086064 0 -0.0650096 0 0.2587719 0 0.2436647 0 0.90212 0 NaN 171
Contig10463 51 0 46 0 3 0 2 0 0 0 9 0 0.0197133 0 0.0107527 0 0.0175953 0 0.0117302 0 1.0897616 0 -0.7098949 0 0.5188172 0 0.5035842 0 0.9497254 0 NaN 93
Contig10493 139 0 103 0 29 0 5 0 2 0 53 0 0.0550214 0 0.0138889 0 0.0541958 0 0.0122378 0 0.1575598 0 1.323306 0 0.3822115 0 0.3477564 0 0.8522337 0 NaN 312
