dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10033 56 0 43 0 6 0 7 0 0 0 22 0 0.021645 0 0.0238095 0 0.0212515 0 0.0247934 0 0.179691 0 -0.389207 0 0.3214286 0 0.2987013 0 0.882494 0 NaN 154
Contig10068 105 0 80 0 14 0 10 0 1 0 30 0 0.0452794 0 0.0327553 0 0.0472937 0 0.0346821 0 -0.4330601 0 -0.5582706 0 0.5238439 0 0.4848266 0 0.8765513 0 NaN 173
Contig1010 14 0 13 0 1 0 0 0 0 0 -9 0 0.0116279 0 0 0 0.012685 0 0 0 -0.6123703 0 0 0 0.3197674 0 0.3139535 0 0.9686099 0 NaN 43
Contig10100 14 0 8 0 3 0 3 0 0 0 5 0 0.0654762 0 0.0535714 0 0.0584416 0 0.0584416 0 1.089761 0 -0.7544498 0 0.375 0 0.3154762 0 0.7517731 0 NaN 28
Contig1019 130 0 69 0 19 0 37 0 5 0 52 0 0.0289532 0 0.0489978 0 0.0291557 0 0.0510225 0 -0.0714884 0 -0.4122193 0 0.2076837 0 0.1687082 0 0.7121034 0 NaN 449
Contig102 16 0 15 0 0 0 1 0 0 0 -9 0 0 0 0.0067568 0 0 0 0.007371 0 0 0 -0.6123716 0 0.2060811 0 0.2027027 0 0.9716599 0 NaN 74
Contig10294 19 0 17 0 2 0 0 0 0 0 -9 0 0.015625 0 0 0 0.0170455 0 0 0 -0.7098949 0 0 0 0.2734375 0 0.265625 0 0.951049 0 NaN 64
Contig10357 37 0 27 0 8 0 2 0 0 0 15 0 0.045614 0 0.0122807 0 0.045933 0 0.0114833 0 -0.0686731 0 0.5915791 0 0.3184211 0 0.2894737 0 0.8510638 0 NaN 95
Contig10374 12 0 12 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3076923 0 0.3076923 0 1 0 NaN 39
Contig10396 15 0 13 0 1 0 1 0 0 0 -9 0 0.0119048 0 0.0119048 0 0.012987 0 0.012987 0 -0.6123711 0 -0.6123711 0 0.3214286 0 0.3095238 0 0.9369369 0 NaN 42
