dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig100733 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.020202 0 0 0 0.0165289 0 0 0 1.893054 0 0.0151515 0 0.0050505 0 0.2222222 0 NaN 66
Contig10107 4 0 0 0 4 0 0 0 0 0 -9 0 0.0740741 0 0 0 0.0808081 0 0 0 -0.7801219 0 0 0 0.037037 0 0 0 0 0 NaN 27
Contig102289 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0173913 0 0 0 0.0142292 0 0 0 2.0118663 0 0.0130435 0 0.0043478 0 0.2222223 0 NaN 115
Contig102480 3 0 0 0 1 0 2 0 0 0 -9 0 0.0081301 0 0.0121951 0 0.0066519 0 0.0133038 0 1.6329898 0 -0.7098954 0 0.0243902 0 0.0142276 0 0.4444444 0 NaN 82
Contig104356 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.016129 0 0 0 0.0175953 0 0 0 -0.7544498 0 0.0134409 0 0.0053763 0 0.2758621 0 NaN 93
Contig104559 8 0 0 0 1 0 7 0 0 0 -9 0 0.0039683 0 0.0304233 0 0.004329 0 0.030303 0 -0.6123711 0 0.0389214 0 0.0238095 0 0.0066138 0 0.1801801 0 NaN 126
Contig104766 2 0 0 0 1 0 0 0 1 0 -9 0 0.0344828 0 0.0172414 0 0.0376176 0 0.0188088 0 -0.7098949 0 -0.6123711 0 0.0301724 0 0.0043103 0 0.0869566 0 NaN 29
Contig105468 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0190476 0 0 0 0.0155844 0 0 0 2.011867 0 0.0142857 0 0.0047619 0 0.2222222 0 NaN 105
Contig109155 2 0 0 0 0 0 0 0 2 0 -9 0 0.0224359 0 0.025641 0 0.020979 0 0.020979 0 0.59158 0 1.893054 0 0.0192308 0 -0.0048077 0 -0.1290323 0 NaN 52
Contig109299 3 0 0 0 0 0 2 0 1 0 -9 0 0.0027174 0 0.0081522 0 0.0029644 0 0.0088933 0 -0.6123711 0 -0.7544498 0 0.0061141 0 0.0006793 0 0.0666667 0 NaN 184
Contig109641 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0319149 0 0 0 0.0348162 0 0 0 -0.7544498 0 0.0159574 0 0 0 0 0 NaN 47
Contig110024 3 0 0 0 2 0 0 0 1 0 -9 0 0.0292398 0 0.0087719 0 0.0287081 0 0.0095694 0 0.1676555 0 -0.6123711 0 0.0175439 0 -0.001462 0 -0.045977 0 NaN 57
Contig110481 4 0 0 0 1 0 2 0 1 0 -9 0 0.0169082 0 0.0217391 0 0.0158103 0 0.0237154 0 0.5915791 0 -0.7544498 0 0.0181159 0 -0.0012077 0 -0.037037 0 NaN 69
Contig11124 4 0 0 0 1 0 2 0 1 0 -9 0 0.0285714 0 0.052381 0 0.0311688 0 0.0467532 0 -0.7098949 0 1.0897616 0 0.0607143 0 0.0202381 0 0.2222222 0 NaN 35
Contig111339 4 0 1 0 0 0 3 0 0 0 -9 0 0 0 0.0189394 0 0 0 0.018595 0 0 0 0.1676562 0 0.0227273 0 0.0132576 0 0.4444444 0 NaN 88
Contig112315 4 0 0 0 1 0 2 0 1 0 -9 0 0.0107527 0 0.0179211 0 0.0117302 0 0.0175953 0 -0.7098949 0 0.1676562 0 0.0147849 0 0.000448 0 0.0175438 0 NaN 93
Contig112530 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0.025 0 1 0 NaN 80
Contig112741 2 0 0 0 1 0 1 0 0 0 -9 0 0.0073529 0 0.0098039 0 0.0080214 0 0.0080214 0 -0.6123711 0 1.6329906 0 0.0110294 0 0.002451 0 0.1403509 0 NaN 68
Contig113410 2 0 0 0 2 0 0 0 0 0 -9 0 0.05 0 0 0 0.0545455 0 0 0 -0.7098949 0 0 0 0.075 0 0.05 0 0.5333333 0 NaN 20
Contig113977 3 0 2 0 0 0 1 0 0 0 -9 0 0 0 0.003937 0 0 0 0.0042949 0 0 0 -0.6123711 0 0.0177165 0 0.015748 0 0.8205128 0 NaN 127
Contig115180 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0243902 0 0 0 0.0266075 0 0 0 -0.7098954 0 0.0121951 0 0 0 1e-07 0 NaN 41
Contig117583 3 0 2 0 0 0 1 0 0 0 -9 0 0 0 0.0049383 0 0 0 0.0040404 0 0 0 1.6329898 0 0.0185185 0 0.0160494 0 0.7878788 0 NaN 135
Contig119324 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0098039 0 0 0 0.0106952 0 0 0 -0.7544498 0 0.004902 0 0 0 0 0 NaN 153
Contig11982 9 0 0 0 7 0 2 0 0 0 -9 0 0.0625 0 0.0178571 0 0.0681818 0 0.0194805 0 -0.8173354 0 -0.7098949 0 0.0401786 0 0 0 0 0 NaN 56
Contig12014 4 0 0 0 0 0 4 0 0 0 -9 0 0 0 0.0396825 0 0 0 0.034632 0 0 0 1.3652138 0 0.0277778 0 0.0079365 0 0.1860465 0 NaN 63
Contig121092 3 0 0 0 0 0 2 0 1 0 -9 0 0.0060606 0 0.0136364 0 0.0049587 0 0.014876 0 1.6329898 0 -0.7544506 0 0.0090909 0 -0.0007576 0 -0.0459771 0 NaN 110
Contig121746 3 0 2 0 0 0 1 0 0 0 -9 0 0 0 0.0064935 0 0 0 0.0070838 0 0 0 -0.6123711 0 0.0292208 0 0.025974 0 0.8205128 0 NaN 77
Contig122019 2 0 0 0 0 0 1 0 1 0 -9 0 0.0050125 0 0.0100251 0 0.0041012 0 0.0082023 0 1.6329906 0 1.893054 0 0.0075188 0 0 0 0 0 NaN 133
Contig122069 4 0 1 0 0 0 3 0 0 0 -9 0 0 0 0.0191571 0 0 0 0.0188088 0 0 0 0.1676555 0 0.0344828 0 0.0249042 0 0.5977012 0 NaN 87
Contig123765 5 0 0 0 0 0 5 0 0 0 -9 0 0 0 0.0097324 0 0 0 0.0099536 0 0 0 -0.212491 0 0.0109489 0 0.0060827 0 0.4166667 0 NaN 274
Contig123985 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.02 0 0 0 0.0218182 0 0 0 -0.7098949 0 0.01 0 0 0 0 0 NaN 50
