dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig101523 4 0 0 0 4 0 0 0 0 0 -9 0 0.0296296 0 0 0 0.0242424 0 0 0 2.0803261 0 0 0 0.0222222 0 0.0074074 0 0.2222222 0 NaN 90
Contig103932 5 0 0 0 5 0 0 0 0 0 -9 0 0.0146805 0 0 0 0.0141309 0 0 0 0.37186 0 0 0 0.0142487 0 0.0069085 0 0.3497268 0 NaN 193
Contig111427 3 0 0 0 0 0 1 0 2 0 -9 0 0.0025575 0 0.0042626 0 0.00279 0 0.0041851 0 -0.7098949 0 0.1676555 0 0.0035166 0 0.0001066 0 0.0175439 0 NaN 391
Contig111755 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0044444 0 0 0 0.0048485 0 0 0 -0.7098949 0 0.0066667 0 0.0044444 0 0.5333334 0 NaN 225
Contig112533 3 0 0 0 0 0 2 0 1 0 -9 0 0.0047619 0 0.0142857 0 0.0051948 0 0.0155844 0 -0.6123711 0 -0.7544498 0 0.0107143 0 0.0011905 0 0.0666667 0 NaN 105
Contig113086 2 0 0 0 0 0 1 0 1 0 -9 0 0.0020243 0 0.0047233 0 0.0022083 0 0.0044166 0 -0.6123711 0 0.5915791 0 0.0030364 0 -0.0003374 0 -0.0606061 0 NaN 247
Contig114164 2 0 0 0 1 0 0 0 1 0 -9 0 0.003915 0 0.0022371 0 0.0036608 0 0.0018304 0 0.59158 0 1.6329906 0 0.0025168 0 -0.0005593 0 -0.1159422 0 NaN 298
Contig117717 2 0 0 0 0 0 0 0 2 0 -9 0 0.0069444 0 0.0081019 0 0.0075758 0 0.0075758 0 -0.7098949 0 0.5915791 0 0.0078125 0 0.0002894 0 0.0215054 0 NaN 144
Contig119024 3 0 3 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0113636 0 0.0113636 0 1 0 NaN 264
Contig120578 4 0 0 0 0 0 1 0 3 0 -9 0 0.0111111 0 0.0144444 0 0.0109091 0 0.0145455 0 0.1676562 0 -0.0650096 0 0.0116667 0 -0.0011111 0 -0.0522875 0 NaN 150
