dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig1 17 0 17 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1338583 0 0.1338583 0 1 0 NaN 127
Contig100 8 0 8 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0427807 0 0.0427807 0 1 0 NaN 187
Contig10008 31 0 29 0 0 0 2 0 0 0 -9 0 0 0 0.0044743 0 0 0 0.0036608 0 0 0 1.893054 0 0.1006711 0 0.098434 0 0.9617487 0 NaN 298
Contig10009 30 0 29 0 0 0 1 0 0 0 -9 0 0 0 0.0017544 0 0 0 0.0019139 0 0 0 -0.6123711 0 0.1026316 0 0.1017544 0 0.985138 0 NaN 285
Contig1001 7 0 7 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1147541 0 0.1147541 0 1 0 NaN 61
Contig1002 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0506329 0 0.0506329 0 1 0 NaN 79
Contig1003 14 0 13 0 1 0 0 0 0 0 -9 0 0.0024331 0 0 0 0.0019907 0 0 0 1.6329906 0 0 0 0.0492701 0 0.0480535 0 0.9575757 0 NaN 274
Contig1004 9 0 9 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1034483 0 0.1034483 0 1 0 NaN 87
Contig10040 23 0 23 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1703704 0 0.1703704 0 1 0 NaN 135
Contig10042 39 0 38 0 0 0 1 0 0 0 -9 0 0 0 0.0013514 0 0 0 0.0014742 0 0 0 -0.6123711 0 0.1033784 0 0.1027027 0 0.9886179 0 NaN 370
Contig1006 16 0 16 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.097561 0 0.097561 0 1 0 NaN 164
Contig10066 26 0 19 0 0 0 7 0 0 0 13 0 0 0 0.0090759 0 0 0 0.0094509 0 0 0 -0.3892076 0 0.0544554 0 0.0499175 0 0.8627451 0 NaN 404
Contig1007 5 0 0 0 0 0 4 0 1 0 -9 0 0.0136054 0 0.0680272 0 0.0111317 0 0.0556586 0 1.6329898 0 2.1249154 0 0.0510204 0 0.0102041 0 0.1249999 0 NaN 49
