dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10514 2 0 0 0 2 0 0 0 0 0 -9 0 0.0151515 0 0 0 0.0165289 0 0 0 -0.7098949 0 0 0 0.0075758 0 0 0 0 0 NaN 66
Contig10690 2 0 0 0 0 0 1 0 1 0 -9 0 0.0057471 0 0.0114943 0 0.0062696 0 0.0125392 0 -0.6123711 0 -0.7098949 0 0.0100575 0 0.0014368 0 0.0869566 0 NaN 87
Contig1072 5 0 0 0 0 0 2 0 3 0 -9 0 0.0220588 0 0.0441176 0 0.0240642 0 0.040107 0 -0.7544498 0 0.9562117 0 0.0349265 0 0.0018382 0 0.0307692 0 NaN 68
Contig1073 2 0 0 0 1 0 1 0 0 0 -9 0 0.0036765 0 0.0036765 0 0.0040107 0 0.0040107 0 -0.6123711 0 -0.6123711 0 0.0036765 0 0 0 0 0 NaN 136
Contig10921 3 0 0 0 0 0 2 0 1 0 -9 0 0.0144928 0 0.0326087 0 0.0118577 0 0.0355731 0 1.6329906 0 -0.7544498 0 0.0217391 0 -0.0018116 0 -0.0459771 0 NaN 46
Contig1094 2 0 0 0 1 0 1 0 0 0 -9 0 0.0080645 0 0.0080645 0 0.0087977 0 0.0087977 0 -0.6123711 0 -0.6123711 0 0.016129 0 0.0080645 0 0.3636364 0 NaN 62
Contig11046 3 0 0 0 1 0 2 0 0 0 -9 0 0.0119048 0 0.0238095 0 0.012987 0 0.025974 0 -0.6123711 0 -0.7098949 0 0.0178571 0 0 0 0 0 NaN 42
Contig11111 3 0 0 0 1 0 1 0 1 0 -9 0 0.025641 0 0.025641 0 0.027972 0 0.027972 0 -0.7098949 0 -0.7098949 0 0.0224359 0 -0.0032051 0 -0.0769231 0 NaN 39
Contig1136 4 0 0 0 1 0 2 0 1 0 -9 0 0.0071942 0 0.0107914 0 0.0078483 0 0.0117724 0 -0.7098949 0 -0.7544506 0 0.0080935 0 -0.0008993 0 -0.060606 0 NaN 139
Contig114 2 0 0 0 2 0 0 0 0 0 -9 0 0.0094086 0 0 0 0.0087977 0 0 0 0.5915791 0 0 0 0.0060484 0 0.0013441 0 0.140351 0 NaN 124
Contig1153 2 0 1 0 0 0 1 0 0 0 -9 0 0 0 0.0068493 0 0 0 0.007472 0 0 0 -0.6123711 0 0.0171233 0 0.0136986 0 0.6956522 0 NaN 73
Contig11682 2 0 0 0 2 0 0 0 0 0 -9 0 0.0074786 0 0 0 0.006993 0 0 0 0.5915791 0 0 0 0.0048077 0 0.0010684 0 0.1403509 0 NaN 156
Contig1187 2 0 0 0 1 0 1 0 0 0 -9 0 0.0037879 0 0.0037879 0 0.0041322 0 0.0041322 0 -0.6123711 0 -0.6123711 0 0.0037879 0 0 0 0 0 NaN 132
Contig11924 2 0 0 0 0 0 1 0 1 0 -9 0 0.0108696 0 0.0217391 0 0.0118577 0 0.0237154 0 -0.6123711 0 -0.7098949 0 0.013587 0 -0.0027174 0 -0.1052632 0 NaN 46
Contig12127 2 0 0 0 1 0 1 0 0 0 -9 0 0.0028409 0 0.0028409 0 0.0030992 0 0.0030992 0 -0.6123711 0 -0.6123711 0 0.0056818 0 0.0028409 0 0.3636364 0 NaN 176
Contig12447 2 0 0 0 1 0 1 0 0 0 -9 0 0.0081967 0 0.0081967 0 0.0089419 0 0.0089419 0 -0.6123711 0 -0.6123711 0 0.0081967 0 0 0 -1e-07 0 NaN 61
Contig12559 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0191257 0 0 0 0.0178838 0 0 0 0.5915791 0 0.0122951 0 0.0027322 0 0.1403508 0 NaN 61
Contig1256 3 0 0 0 1 0 1 0 1 0 -9 0 0.0147679 0 0.0126582 0 0.013809 0 0.013809 0 0.5915791 0 -0.7098954 0 0.0126582 0 -0.0010549 0 -0.045977 0 NaN 79
Contig1276 2 0 0 0 1 0 1 0 0 0 -9 0 0.0037037 0 0.0049383 0 0.0040404 0 0.0040404 0 -0.6123711 0 1.6329898 0 0.0055556 0 0.0012346 0 0.1403509 0 NaN 135
Contig1277 2 0 0 0 1 0 1 0 0 0 -9 0 0.0185185 0 0.0185185 0 0.020202 0 0.020202 0 -0.6123711 0 -0.6123711 0 0.0185185 0 0 0 0 0 NaN 27
Contig1284 2 0 0 0 1 0 0 0 1 0 -9 0 0.0144033 0 0.0061728 0 0.013468 0 0.006734 0 0.5915791 0 -0.6123711 0 0.0092593 0 -0.0010288 0 -0.060606 0 NaN 81
Contig12905 9 0 0 0 4 0 3 0 2 0 -9 0 0.0142643 0 0.0112613 0 0.014742 0 0.012285 0 -0.3144577 0 -0.7968428 0 0.0118243 0 -0.0009384 0 -0.0438596 0 NaN 222
Contig13054 2 0 0 0 2 0 0 0 0 0 -9 0 0.011236 0 0 0 0.0122574 0 0 0 -0.7098949 0 0 0 0.005618 0 0 0 -1e-07 0 NaN 89
Contig13058 2 0 0 0 0 0 0 0 2 0 -9 0 0.0103093 0 0.0103093 0 0.0112465 0 0.0112465 0 -0.7098954 0 -0.7098954 0 0.007732 0 -0.0025773 0 -0.1666666 0 NaN 97
Contig1315 2 0 0 0 0 0 1 0 1 0 -9 0 0.0034722 0 0.0081019 0 0.0037879 0 0.0075758 0 -0.6123711 0 0.5915791 0 0.0052083 0 -0.0005787 0 -0.060606 0 NaN 144
Contig13232 2 0 0 0 1 0 0 0 1 0 -9 0 0.0126582 0 0.0063291 0 0.013809 0 0.0069045 0 -0.7098954 0 -0.6123716 0 0.0079114 0 -0.0015823 0 -0.1052631 0 NaN 79
Contig13235 2 0 0 0 1 0 1 0 0 0 -9 0 0.0093897 0 0.0093897 0 0.0076825 0 0.0076825 0 1.6329906 0 1.6329906 0 0.0140845 0 0.0046948 0 0.2222222 0 NaN 71
Contig13252 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0074627 0 0 0 0.0081411 0 0 0 -0.7098949 0 0.0037313 0 0 0 1e-07 0 NaN 134
Contig1327 2 0 0 0 1 0 1 0 0 0 -9 0 0.0162602 0 0.0162602 0 0.0133038 0 0.0133038 0 1.6329898 0 1.6329898 0 0.0243902 0 0.0081301 0 0.2222222 0 NaN 41
Contig1337 2 0 0 0 0 0 0 0 2 0 -9 0 0.0402299 0 0.0344828 0 0.0376176 0 0.0376176 0 0.5915791 0 -0.7098949 0 0.0301724 0 -0.0071839 0 -0.1234567 0 NaN 29
Contig1341 6 0 0 0 3 0 1 0 2 0 -9 0 0.0235849 0 0.0157233 0 0.025729 0 0.0154374 0 -0.7968436 0 0.1676562 0 0.0200472 0 0.0003931 0 0.0112994 0 NaN 106
Contig1376 2 0 0 0 1 0 0 0 1 0 -9 0 0.0263158 0 0.0131579 0 0.0287081 0 0.0143541 0 -0.7098954 0 -0.6123716 0 0.0164474 0 -0.0032895 0 -0.1052631 0 NaN 38
Contig1424 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0381944 0 0 0 0.0340909 0 0 0 1.089761 0 0.0260417 0 0.0069444 0 0.172043 0 NaN 48
Contig1430 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0064516 0 0 0 0.0070381 0 0 0 -0.7098949 0 0.0032258 0 0 0 1e-07 0 NaN 155
Contig1473 5 0 0 0 0 0 3 0 2 0 -9 0 0.0065359 0 0.0196078 0 0.0071301 0 0.0178253 0 -0.7098949 0 0.9562117 0 0.0155229 0 0.002451 0 0.0967742 0 NaN 153
Contig1497 2 0 0 0 1 0 0 0 1 0 -9 0 0.0137457 0 0.0068729 0 0.0112465 0 0.0056232 0 1.8930532 0 1.6329898 0 0.0103093 0 0 0 0 0 NaN 97
Contig1509 5 0 0 0 1 0 3 0 1 0 -9 0 0.0104167 0 0.0193452 0 0.0097403 0 0.0194805 0 0.59158 0 -0.0650107 0 0.0200893 0 0.0052083 0 0.1666667 0 NaN 112
Contig15268 2 0 0 0 0 0 1 0 1 0 -9 0 0.004902 0 0.0130719 0 0.0053476 0 0.0106952 0 -0.6123711 0 1.893054 0 0.0098039 0 0.000817 0 0.0493827 0 NaN 102
Contig1530 2 0 0 0 0 0 1 0 1 0 -9 0 0.0162602 0 0.0284553 0 0.0133038 0 0.0266075 0 1.6329898 0 0.59158 0 0.0182927 0 -0.004065 0 -0.115942 0 NaN 41
Contig1537 3 0 0 0 0 0 0 0 3 0 -9 0 0.0322581 0 0.0268817 0 0.026393 0 0.026393 0 2.011867 0 0.1676555 0 0.0241935 0 -0.0053763 0 -0.115942 0 NaN 62
Contig1575 2 0 0 0 1 0 0 0 1 0 -9 0 0.0182648 0 0.0068493 0 0.014944 0 0.007472 0 1.8930532 0 -0.6123711 0 0.0136986 0 0.0011416 0 0.0493828 0 NaN 73
Contig1622 5 0 0 0 0 0 1 0 4 0 -9 0 0.012963 0 0.0148148 0 0.0121212 0 0.0151515 0 0.6501026 0 -0.212491 0 0.0118056 0 -0.0020833 0 -0.0937501 0 NaN 180
Contig1642 2 0 0 0 0 0 0 0 2 0 -9 0 0.0125 0 0.0125 0 0.0136364 0 0.0136364 0 -0.7098949 0 -0.7098949 0 0.009375 0 -0.003125 0 -0.1666667 0 NaN 80
Contig1664 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0070423 0 0 0 0.0076825 0 0 0 -0.7098949 0 0.0035211 0 0 0 1e-07 0 NaN 142
Contig1772 5 0 0 0 3 0 1 0 1 0 -9 0 0.0194444 0 0.0083333 0 0.0181818 0 0.0090909 0 0.6501026 0 -0.7098949 0 0.0197917 0 0.0059028 0 0.1954023 0 NaN 120
Contig1799 2 0 0 0 0 0 1 0 1 0 -9 0 0.0045351 0 0.0068027 0 0.0037106 0 0.0074212 0 1.6329906 0 -0.7098949 0 0.005102 0 -0.0005669 0 -0.0606061 0 NaN 147
Contig1837 3 0 0 0 0 0 1 0 2 0 -9 0 0.0090439 0 0.0116279 0 0.0084567 0 0.012685 0 0.5915791 0 -0.7544492 0 0.0087209 0 -0.001615 0 -0.0980392 0 NaN 129
Contig1879 3 0 0 0 1 0 0 0 2 0 -9 0 0.0213675 0 0.0149573 0 0.020979 0 0.013986 0 0.1676562 0 0.5915791 0 0.0160256 0 -0.0021368 0 -0.0720721 0 NaN 78
