dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig1 9 0 7 0 0 0 2 0 0 0 -9 0 0 0 0.0084746 0 0 0 0.009245 0 0 0 -0.7098949 0 0.0677966 0 0.0635593 0 0.8955224 0 NaN 118
Contig1000 8 0 3 0 0 0 5 0 0 0 -9 0 0 0 0.0615942 0 0 0 0.0592885 0 0 0 0.37186 0 0.1032609 0 0.0724638 0 0.5734767 0 NaN 46
Contig1001 64 0 27 0 21 0 16 0 0 0 30 0 0.0380623 0 0.0311419 0 0.0396351 0 0.0301982 0 -0.4072897 0 0.3183853 0 0.1539792 0 0.1193772 0 0.6634615 0 NaN 289
Contig10013 61 0 49 0 6 0 5 0 1 0 13 0 0.0124164 0 0.0114613 0 0.0109403 0 0.0093774 0 1.3233047 0 2.1562839 0 0.1575931 0 0.1456542 0 0.874552 0 NaN 349
Contig1002 21 0 14 0 1 0 6 0 0 0 11 0 0.004717 0 0.0298742 0 0.0051458 0 0.0308748 0 -0.6123711 0 -0.3144584 0 0.1603774 0 0.1430818 0 0.8253968 0 NaN 106
Contig10026 11 0 7 0 2 0 2 0 0 0 -9 0 0.0064103 0 0.008547 0 0.006993 0 0.006993 0 -0.7098949 0 1.893054 0 0.0576923 0 0.0502137 0 0.7932489 0 NaN 156
Contig10027 79 0 47 0 24 0 8 0 0 0 39 0 0.0260311 0 0.0098039 0 0.0265536 0 0.0088512 0 -0.2025511 0 1.0644257 0 0.1267748 0 0.1088573 0 0.7763713 0 NaN 493
Contig1003 61 0 28 0 13 0 20 0 0 0 21 0 0.0151515 0 0.0246212 0 0.0161157 0 0.0247934 0 -0.6052782 0 -0.0711914 0 0.09375 0 0.0738636 0 0.6797386 0 NaN 440
Contig10049 32 0 19 0 8 0 5 0 0 0 16 0 0.0149254 0 0.0099502 0 0.0162822 0 0.0101764 0 -0.8240709 0 -0.2124918 0 0.0876866 0 0.0752488 0 0.775641 0 NaN 268
Contig1005 44 0 14 0 15 0 15 0 0 0 19 0 0.0566449 0 0.0501089 0 0.0534759 0 0.0534759 0 0.6025195 0 -0.6401757 0 0.1764706 0 0.1230937 0 0.5685534 0 NaN 153
Contig1006 42 0 30 0 3 0 9 0 0 0 15 0 0.0054113 0 0.0162338 0 0.0053129 0 0.0159386 0 0.1676562 0 0.1843172 0 0.112013 0 0.1011905 0 0.8423423 0 NaN 308
Contig10070 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1666667 0 0.1666667 0 1 0 NaN 24
Contig10071 12 0 5 0 2 0 4 0 1 0 5 0 0.0224719 0 0.0280899 0 0.0183861 0 0.0306435 0 2.011867 0 -0.7968428 0 0.0842697 0 0.0589888 0 0.5714285 0 NaN 89
Contig10072 25 0 10 0 9 0 6 0 0 0 10 0 0.027451 0 0.0176471 0 0.028877 0 0.0192513 0 -0.4915121 0 -0.8086057 0 0.0970588 0 0.0745098 0 0.6537635 0 NaN 170
Contig10077 8 0 5 0 3 0 0 0 0 0 -9 0 0.0606061 0 0 0 0.0495868 0 0 0 2.011867 0 0 0 0.1969697 0 0.1666667 0 0.7586207 0 NaN 33
Contig10078 5 0 5 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1351351 0 0.1351351 0 1 0 NaN 37
Contig10087 7 0 3 0 1 0 3 0 0 0 -9 0 0.0208333 0 0.0520833 0 0.0170455 0 0.0511364 0 1.6329906 0 0.1676555 0 0.140625 0 0.1041667 0 0.620155 0 NaN 32
