dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig100137 4 0 0 0 2 0 1 0 1 0 -9 0 0.0200803 0 0.0160643 0 0.0197152 0 0.0131435 0 0.1676562 0 1.8930532 0 0.0210843 0 0.003012 0 0.0869566 0 NaN 83
Contig10057 4 0 0 0 2 0 2 0 0 0 -9 0 0.0104167 0 0.0138889 0 0.0113636 0 0.0113636 0 -0.7098949 0 1.893054 0 0.015625 0 0.0034722 0 0.1403508 0 NaN 96
Contig10100 2 0 0 0 1 0 0 0 1 0 -9 0 0.0067002 0 0.0025126 0 0.005482 0 0.002741 0 1.893054 0 -0.6123711 0 0.0050251 0 0.0004188 0 0.0493827 0 NaN 199
Contig1015 2 0 0 0 1 0 1 0 0 0 -9 0 0.0053763 0 0.0071685 0 0.0058651 0 0.0058651 0 -0.6123711 0 1.6329906 0 0.0080645 0 0.0017921 0 0.1403508 0 NaN 93
Contig1018 2 0 1 0 0 0 1 0 0 0 -9 0 0 0 0.0277778 0 0 0 0.0227273 0 0 0 1.6329906 0 0.0625 0 0.0486111 0 0.6666666 0 NaN 24
Contig1029 5 0 3 0 1 0 1 0 0 0 -9 0 0.0009524 0 0.0009524 0 0.001039 0 0.001039 0 -0.6123711 0 -0.6123711 0 0.007619 0 0.0066667 0 0.8 0 NaN 525
Contig1034 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0103245 0 0 0 0.0096541 0 0 0 0.5915791 0 0.0066372 0 0.0014749 0 0.1403508 0 NaN 113
Contig10479 2 0 1 0 1 0 0 0 0 0 -9 0 0.009434 0 0 0 0.0102916 0 0 0 -0.6123711 0 0 0 0.0330189 0 0.0283019 0 0.7741936 0 NaN 53
Contig10557 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0130719 0 0 0 0.0106952 0 0 0 1.893054 0 0.0098039 0 0.003268 0 0.2222223 0 NaN 102
Contig10692 3 0 0 0 1 0 2 0 0 0 -9 0 0.002924 0 0.005848 0 0.0031898 0 0.0063796 0 -0.6123711 0 -0.7098949 0 0.0073099 0 0.002924 0 0.275862 0 NaN 171
Contig10751 2 0 0 0 2 0 0 0 0 0 -9 0 0.0212121 0 0 0 0.0198347 0 0 0 0.5915791 0 0 0 0.0136364 0 0.0030303 0 0.1403509 0 NaN 55
Contig10958 2 0 0 0 1 0 1 0 0 0 -9 0 0.004386 0 0.004386 0 0.0047847 0 0.0047847 0 -0.6123711 0 -0.6123711 0 0.0087719 0 0.004386 0 0.3636363 0 NaN 114
Contig11173 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.012987 0 0 0 0.0141677 0 0 0 -0.7098949 0 0.0064935 0 0 0 0 0 NaN 77
Contig11186 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.030303 0 0 0 0.0247934 0 0 0 1.893054 0 0.0227273 0 0.0075758 0 0.2222223 0 NaN 44
Contig1125 4 0 0 0 3 0 1 0 0 0 -9 0 0.0073529 0 0.003268 0 0.0080214 0 0.0026738 0 -0.7544498 0 1.6329906 0 0.0061275 0 0.000817 0 0.0808081 0 NaN 204
Contig1132 4 0 0 0 0 0 4 0 0 0 -9 0 0 0 0.0229358 0 0 0 0.0200167 0 0 0 1.3652138 0 0.0206422 0 0.0091743 0 0.3137255 0 NaN 109
Contig11645 2 0 0 0 1 0 1 0 0 0 -9 0 0.0071429 0 0.0071429 0 0.0077922 0 0.0077922 0 -0.6123711 0 -0.6123711 0 0.0142857 0 0.0071429 0 0.3636364 0 NaN 70
Contig11706 2 0 0 0 1 0 1 0 0 0 -9 0 0.0039683 0 0.005291 0 0.004329 0 0.004329 0 -0.6123711 0 1.6329906 0 0.0059524 0 0.0013228 0 0.1403509 0 NaN 126
Contig11884 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0108696 0 0 0 0.0118577 0 0 0 -0.7098949 0 0.0054348 0 0 0 -1e-07 0 NaN 92
Contig1195 2 0 1 0 0 0 1 0 0 0 -9 0 0 0 0.0042373 0 0 0 0.0046225 0 0 0 -0.6123711 0 0.0105932 0 0.0084746 0 0.6956522 0 NaN 118
Contig1201 3 0 0 0 2 0 1 0 0 0 -9 0 0.0122324 0 0.0045872 0 0.0100083 0 0.0050042 0 1.8930532 0 -0.6123711 0 0.0114679 0 0.0030581 0 0.172043 0 NaN 109
Contig12143 2 0 0 0 0 0 1 0 1 0 -9 0 0.0054348 0 0.0108696 0 0.0059289 0 0.0118577 0 -0.6123711 0 -0.7098949 0 0.0095109 0 0.0013587 0 0.0869566 0 NaN 92
Contig12505 3 0 0 0 1 0 2 0 0 0 -9 0 0.0047619 0 0.0111111 0 0.0051948 0 0.0103896 0 -0.6123711 0 0.59158 0 0.0095238 0 0.0015873 0 0.1025641 0 NaN 105
Contig1282 2 0 0 0 1 0 1 0 0 0 -9 0 0.0053763 0 0.0053763 0 0.0058651 0 0.0058651 0 -0.6123711 0 -0.6123711 0 0.0053763 0 0 0 0 0 NaN 93
Contig13428 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0151515 0 0 0 0.0123967 0 0 0 1.893054 0 0.0113636 0 0.0037879 0 0.2222223 0 NaN 88
Contig1414 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0120482 0 0.0120482 0 1 0 NaN 166
Contig14220 3 0 0 0 3 0 0 0 0 0 -9 0 0.0193798 0 0 0 0.0190275 0 0 0 0.1676555 0 0 0 0.0116279 0 0.001938 0 0.1025641 0 NaN 86
Contig14231 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0092593 0 0 0 0.0075758 0 0 0 1.893054 0 0.0069444 0 0.0023148 0 0.2222222 0 NaN 144
Contig14306 2 0 0 0 1 0 1 0 0 0 -9 0 0.0077519 0 0.005814 0 0.0063425 0 0.0063425 0 1.6329906 0 -0.6123703 0 0.0087209 0 0.001938 0 0.1403508 0 NaN 86
Contig14476 2 0 0 0 1 0 0 0 1 0 -9 0 0.0138889 0 0.0069444 0 0.0151515 0 0.0075758 0 -0.7098949 0 -0.6123711 0 0.015625 0 0.0052083 0 0.2222222 0 NaN 72
Contig14563 2 0 0 0 2 0 0 0 0 0 -9 0 0.0102041 0 0 0 0.0111317 0 0 0 -0.7098949 0 0 0 0.005102 0 0 0 1e-07 0 NaN 98
Contig14612 2 0 0 0 1 0 1 0 0 0 -9 0 0.0041408 0 0.0041408 0 0.0033879 0 0.0033879 0 1.6329906 0 1.6329906 0 0.0062112 0 0.0020704 0 0.2222222 0 NaN 161
Contig14925 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.016369 0 0 0 0.0146104 0 0 0 1.089761 0 0.0111607 0 0.0029762 0 0.1720431 0 NaN 112
Contig14952 2 0 0 0 1 0 1 0 0 0 -9 0 0.010582 0 0.0079365 0 0.008658 0 0.008658 0 1.6329906 0 -0.6123711 0 0.0119048 0 0.0026455 0 0.1403509 0 NaN 63
Contig1522 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0059172 0 0 0 0.0064551 0 0 0 -0.7098949 0 0.0059172 0 0.0029586 0 0.3636363 0 NaN 169
Contig15612 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0088496 0 0 0 0.0096541 0 0 0 -0.7098949 0 0.0088496 0 0.0044248 0 0.3636364 0 NaN 113
Contig15878 3 0 0 0 1 0 2 0 0 0 -9 0 0.005618 0 0.011236 0 0.0061287 0 0.0122574 0 -0.6123711 0 -0.7098949 0 0.0140449 0 0.005618 0 0.2758621 0 NaN 89
