dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10047 24 0 21 0 2 0 1 0 0 0 -9 0 0.0344828 0 0.0172414 0 0.0376176 0 0.0188088 0 -0.7098949 0 -0.6123711 0 0.7672414 0 0.7413793 0 0.9424658 0 NaN 29
Contig10609 46 0 29 0 9 0 8 0 0 0 23 0 0.0682731 0 0.0502008 0 0.0591457 0 0.0525739 0 1.5359749 0 -0.4463709 0 0.4548193 0 0.3955823 0 0.792358 0 NaN 83
Contig1064 69 0 37 0 17 0 14 0 1 0 36 0 0.0424242 0 0.0363636 0 0.0446281 0 0.0371901 0 -0.5048546 0 -0.225945 0 0.2261364 0 0.1867424 0 0.7303703 0 NaN 220
Contig1077 18 0 9 0 4 0 5 0 0 0 9 0 0.0555556 0 0.0694444 0 0.0606061 0 0.0757576 0 -0.7801219 0 -0.7968436 0 0.3402778 0 0.2777778 0 0.7174888 0 NaN 36
Contig10782 77 0 67 0 3 0 6 0 1 0 19 0 0.0122699 0 0.0214724 0 0.0133854 0 0.0234244 0 -0.7801219 0 -0.8173354 0 0.4363497 0 0.4194785 0 0.9342442 0 NaN 163
Contig1085 26 0 20 0 2 0 4 0 0 0 8 0 0.0205128 0 0.0333333 0 0.0167832 0 0.0335664 0 1.893054 0 -0.0650096 0 0.3423077 0 0.3153846 0 0.8700265 0 NaN 65
Contig1091 19 0 11 0 6 0 2 0 0 0 11 0 0.1145833 0 0.03125 0 0.1022727 0 0.0340909 0 1.1679878 0 -0.7098949 0 0.453125 0 0.3802083 0 0.7487179 0 NaN 32
Contig1093 51 0 24 0 5 0 20 0 2 0 36 0 0.0234375 0 0.0590278 0 0.0198864 0 0.0625 0 1.7514337 0 -0.5708241 0 0.1777344 0 0.1365017 0 0.6541862 0 NaN 192
Contig11054 24 0 13 0 1 0 10 0 0 0 13 0 0.005814 0 0.0658915 0 0.0063425 0 0.0634249 0 -0.6123703 0 0.3891013 0 0.1947674 0 0.1589147 0 0.7169399 0 NaN 86
Contig1120 54 0 31 0 11 0 10 0 2 0 28 0 0.0803922 0 0.0764706 0 0.0834225 0 0.0770053 0 -0.3674903 0 -0.0700372 0 0.4926471 0 0.4142157 0 0.7511111 0 NaN 85
Contig1121 40 0 16 0 5 0 18 0 1 0 16 0 0.0510753 0 0.1586021 0 0.0527859 0 0.1671554 0 -0.3144577 0 -0.5238816 0 0.4334677 0 0.328629 0 0.6417323 0 NaN 62
Contig1122 25 0 11 0 8 0 5 0 1 0 13 0 0.0531136 0 0.0347985 0 0.0539461 0 0.035964 0 -0.153597 0 -0.3144577 0 0.1840659 0 0.1401099 0 0.6455696 0 NaN 91
Contig11290 32 0 12 0 8 0 12 0 0 0 14 0 0.085034 0 0.1292517 0 0.0890538 0 0.1335807 0 -0.446372 0 -0.3268444 0 0.3826531 0 0.2755102 0 0.5950413 0 NaN 49
Contig1187 43 0 16 0 2 0 23 0 2 0 19 0 0.0338983 0 0.240113 0 0.03698 0 0.2311248 0 -0.7801219 0 0.4006721 0 0.4915254 0 0.3545198 0 0.5965537 0 NaN 59
Contig1195 95 0 59 0 8 0 27 0 1 0 43 0 0.0211268 0 0.0610329 0 0.0172855 0 0.0537772 0 2.2118042 0 1.3930912 0 0.2693662 0 0.2282864 0 0.7605083 0 NaN 284
Contig1221 47 0 31 0 8 0 7 0 1 0 20 0 0.0590717 0 0.0548523 0 0.0621404 0 0.0552359 0 -0.4915121 0 -0.068672 0 0.4936709 0 0.4367089 0 0.8141593 0 NaN 79
Contig12312 30 0 26 0 2 0 2 0 0 0 -9 0 0.0081967 0 0.0081967 0 0.0089419 0 0.0089419 0 -0.7098949 0 -0.7098949 0 0.2213115 0 0.2131148 0 0.9369369 0 NaN 122
Contig1237 57 0 40 0 4 0 12 0 1 0 22 0 0.0137741 0 0.0316804 0 0.0112697 0 0.0293013 0 2.1249144 0 0.8214492 0 0.196281 0 0.1735537 0 0.8135594 0 NaN 242
Contig12837 34 0 31 0 0 0 3 0 0 0 -9 0 0 0 0.0223881 0 0 0 0.0244233 0 0 0 -0.7544492 0 0.4813433 0 0.4701492 0 0.96 0 NaN 67
Contig1285 15 0 9 0 2 0 4 0 0 0 9 0 0.0185185 0 0.0432099 0 0.020202 0 0.040404 0 -0.7098949 0 0.6501015 0 0.212963 0 0.1820988 0 0.7712418 0 NaN 54
Contig13383 11 0 10 0 0 0 1 0 0 0 -9 0 0 0 0.0096154 0 0 0 0.0104895 0 0 0 -0.6123711 0 0.1971154 0 0.1923077 0 0.9580838 0 NaN 52
Contig1384 12 0 6 0 3 0 3 0 0 0 6 0 0.0362319 0 0.0326087 0 0.0355731 0 0.0355731 0 0.1676555 0 -0.7544498 0 0.1902174 0 0.1557971 0 0.721174 0 NaN 46
Contig1392 50 0 24 0 17 0 8 0 1 0 25 0 0.130137 0 0.0707763 0 0.1344956 0 0.0672478 0 -0.3313105 0 0.5222313 0 0.5034246 0 0.402968 0 0.6962525 0 NaN 73
Contig1395 34 0 23 0 3 0 8 0 0 0 14 0 0.0157895 0 0.0473684 0 0.0172249 0 0.045933 0 -0.7544498 0 0.3090269 0 0.2789474 0 0.2473684 0 0.8173913 0 NaN 95
Contig1404 10 0 2 0 1 0 6 0 1 0 -9 0 0.0315315 0 0.1126126 0 0.029484 0 0.1031941 0 0.5915791 0 0.8951769 0 0.1756757 0 0.1036036 0 0.4509804 0 NaN 37
Contig1420 53 0 30 0 8 0 14 0 1 0 28 0 0.0445293 0 0.0597964 0 0.037474 0 0.0624566 0 1.8738899 0 -0.4330601 0 0.3206107 0 0.2684478 0 0.7462423 0 NaN 131
Contig1457 44 0 13 0 13 0 15 0 3 0 22 0 0.0841924 0 0.0962199 0 0.0899719 0 0.1012184 0 -0.6544588 0 -0.5048546 0 0.2809278 0 0.1907217 0 0.547135 0 NaN 97
Contig1477 41 0 31 0 7 0 3 0 0 0 15 0 0.0468165 0 0.0168539 0 0.0429009 0 0.0183861 0 0.8951769 0 -0.7544498 0 0.4044944 0 0.3726592 0 0.8699453 0 NaN 89
Contig151 37 0 23 0 6 0 8 0 0 0 25 0 0.0529101 0 0.0634921 0 0.0519481 0 0.0692641 0 0.179691 0 -0.8240709 0 0.4761905 0 0.4179894 0 0.8040712 0 NaN 63
Contig1543 24 0 22 0 1 0 1 0 0 0 -9 0 0.0054201 0 0.004065 0 0.0044346 0 0.0044346 0 1.6329898 0 -0.6123716 0 0.1849594 0 0.1802168 0 0.9559749 0 NaN 123
Contig1547 18 0 9 0 5 0 3 0 1 0 12 0 0.0681818 0 0.0492424 0 0.0743802 0 0.0495868 0 -0.8086064 0 -0.0650107 0 0.2869318 0 0.2282197 0 0.6895565 0 NaN 44
Contig16075 15 0 13 0 1 0 1 0 0 0 -9 0 0.0185185 0 0.0185185 0 0.020202 0 0.020202 0 -0.6123711 0 -0.6123711 0 0.537037 0 0.5185185 0 0.9411765 0 NaN 27
Contig1628 149 0 93 0 33 0 21 0 2 0 66 0 0.0905449 0 0.0592949 0 0.0917832 0 0.0603147 0 -0.139814 0 -0.1739011 0 0.5697116 0 0.4947917 0 0.7905265 0 NaN 208
Contig1665 15 0 9 0 2 0 3 0 1 0 8 0 0.0679012 0 0.0802469 0 0.0606061 0 0.0808081 0 1.089761 0 -0.0650096 0 0.4166667 0 0.3425926 0 0.7254902 0 NaN 27
Contig1697 74 0 40 0 10 0 22 0 2 0 34 0 0.0367232 0 0.0725047 0 0.03698 0 0.0739599 0 -0.070038 0 -0.2025511 0 0.2973164 0 0.2427024 0 0.717467 0 NaN 177
Contig17 44 0 36 0 3 0 5 0 0 0 15 0 0.018315 0 0.029304 0 0.017982 0 0.02997 0 0.1676562 0 -0.212491 0 0.4450549 0 0.4212454 0 0.9099901 0 NaN 91
Contig1729 46 0 41 0 2 0 3 0 0 0 7 0 0.0068493 0 0.010274 0 0.007472 0 0.011208 0 -0.7098949 0 -0.7544498 0 0.2928082 0 0.2842466 0 0.9499285 0 NaN 146
Contig17352 50 0 45 0 2 0 3 0 0 0 9 0 0.0116959 0 0.0146199 0 0.0095694 0 0.0143541 0 1.893054 0 0.1676555 0 0.4166667 0 0.4035088 0 0.9460154 0 NaN 114
Contig1755 9 0 1 0 3 0 4 0 1 0 -9 0 0.1140351 0 0.1403509 0 0.1148325 0 0.1435407 0 -0.0650096 0 -0.212491 0 0.1973684 0 0.0701754 0 0.2397003 0 NaN 19
Contig1756 28 0 19 0 6 0 3 0 0 0 11 0 0.0374532 0 0.0168539 0 0.0367722 0 0.0183861 0 0.179691 0 -0.7544498 0 0.261236 0 0.2340824 0 0.8312552 0 NaN 89
Contig1779 22 0 15 0 2 0 5 0 0 0 10 0 0.0185185 0 0.0462963 0 0.020202 0 0.050505 0 -0.7098949 0 -0.7968428 0 0.3101852 0 0.2777778 0 0.8304498 0 NaN 54
Contig179 23 0 10 0 5 0 8 0 0 0 11 0 0.0490196 0 0.0612745 0 0.040107 0 0.0641711 0 2.1249154 0 -0.446372 0 0.2316176 0 0.1764706 0 0.6464646 0 NaN 68
Contig1796 53 0 31 0 12 0 9 0 1 0 23 0 0.0385356 0 0.0356455 0 0.0409879 0 0.0315292 0 -0.6052788 0 1.3062667 0 0.2341041 0 0.1970135 0 0.7521839 0 NaN 173
Contig1835 71 0 50 0 16 0 5 0 0 0 28 0 0.0383543 0 0.0104603 0 0.0365158 0 0.0114112 0 0.5129532 0 -0.7968428 0 0.251046 0 0.2266388 0 0.8414239 0 NaN 239
Contig1869 4 0 2 0 1 0 1 0 0 0 -9 0 0.0208333 0 0.0208333 0 0.0227273 0 0.0227273 0 -0.6123711 0 -0.6123711 0 0.125 0 0.1041667 0 0.7407407 0 NaN 24
Contig1876 45 0 28 0 5 0 12 0 0 0 21 0 0.0252525 0 0.0622896 0 0.0275482 0 0.0661157 0 -0.7968419 0 -0.5836515 0 0.3686869 0 0.3249158 0 0.8092243 0 NaN 99
Contig1888 44 0 34 0 2 0 7 0 1 0 13 0 0.0245098 0 0.0612745 0 0.0240642 0 0.0641711 0 0.1676562 0 -0.446372 0 0.5588235 0 0.5159314 0 0.8729912 0 NaN 68
Contig1905 35 0 21 0 2 0 12 0 0 0 11 0 0.0108696 0 0.0851449 0 0.0118577 0 0.0711462 0 -0.7098949 0 1.9844155 0 0.3070652 0 0.259058 0 0.7551155 0 NaN 92
Contig1922 52 0 33 0 8 0 10 0 1 0 24 0 0.0491228 0 0.0631579 0 0.0516746 0 0.0631579 0 -0.4915121 0 2e-07 0 0.425 0 0.3688596 0 0.7896714 0 NaN 95
Contig1976 32 0 13 0 5 0 11 0 3 0 20 0 0.0392157 0 0.0751634 0 0.0427807 0 0.0748663 0 -0.8240709 0 0.0402541 0 0.2120098 0 0.1548203 0 0.6073718 0 NaN 102
Contig1980 23 0 16 0 1 0 6 0 0 0 9 0 0.0065789 0 0.0394737 0 0.007177 0 0.0430622 0 -0.6123716 0 -0.8086057 0 0.2467105 0 0.2236842 0 0.847352 0 NaN 76
Contig2029 33 0 17 0 6 0 10 0 0 0 21 0 0.0441176 0 0.0808823 0 0.0481283 0 0.0802139 0 -0.8086064 0 0.083378 0 0.3566177 0 0.2941177 0 0.7289294 0 NaN 68
Contig20515 11 0 7 0 2 0 2 0 0 0 -9 0 0.030303 0 0.030303 0 0.0330579 0 0.0330579 0 -0.7098949 0 -0.7098949 0 0.2424242 0 0.2121212 0 0.8 0 NaN 33
Contig2107 27 0 13 0 5 0 8 0 1 0 11 0 0.0793651 0 0.1150794 0 0.0779221 0 0.1168831 0 0.179691 0 -0.153597 0 0.4285714 0 0.3313492 0 0.6607319 0 NaN 42
Contig2146 60 0 33 0 12 0 14 0 1 0 32 0 0.0353261 0 0.0407609 0 0.0385376 0 0.0444664 0 -0.8430668 0 -0.8472914 0 0.2357337 0 0.1976902 0 0.748072 0 NaN 184
Contig2172 47 0 18 0 12 0 16 0 1 0 17 0 0.0724638 0 0.0942029 0 0.0770751 0 0.1007905 0 -0.6052788 0 -0.6671104 0 0.3464674 0 0.2631341 0 0.6434109 0 NaN 92
Contig2228 39 0 24 0 4 0 11 0 0 0 17 0 0.0416667 0 0.1185897 0 0.041958 0 0.1153846 0 -0.0650096 0 0.2791353 0 0.5961539 0 0.5160257 0 0.7863248 0 NaN 52
Contig2235 18 0 17 0 0 0 1 0 0 0 -9 0 0 0 0.0172414 0 0 0 0.0188088 0 0 0 -0.6123711 0 0.5948276 0 0.5862069 0 0.9749104 0 NaN 29
Contig2260 80 0 65 0 3 0 12 0 0 0 27 0 0.0049505 0 0.019802 0 0.0054005 0 0.0216022 0 -0.7544498 0 -0.8404579 0 0.2334983 0 0.2211221 0 0.9107901 0 NaN 303
Contig2308 62 0 40 0 16 0 6 0 0 0 32 0 0.0621891 0 0.0261194 0 0.0651289 0 0.0244233 0 -0.4598897 0 0.6738391 0 0.375 0 0.3308458 0 0.8106667 0 NaN 134
Contig2353 16 0 13 0 1 0 2 0 0 0 -9 0 0.0155039 0 0.0271318 0 0.012685 0 0.02537 0 1.6329906 0 0.5915791 0 0.3313954 0 0.3100775 0 0.8926081 0 NaN 43
Contig23570 14 0 10 0 1 0 3 0 0 0 -9 0 0.0070922 0 0.0159574 0 0.0058027 0 0.0174081 0 1.6329898 0 -0.7544498 0 0.125 0 0.1134752 0 0.8490879 0 NaN 94
Contig238 85 0 45 0 11 0 22 0 7 0 36 0 0.0905512 0 0.1259843 0 0.0773085 0 0.1245526 0 1.7512133 0 0.1187554 0 0.4970472 0 0.3887795 0 0.6723405 0 NaN 127
Contig24 76 0 41 0 10 0 25 0 0 0 35 0 0.0445402 0 0.1364942 0 0.0470219 0 0.1175549 0 -0.528065 0 1.6599256 0 0.487069 0 0.3965517 0 0.7145631 0 NaN 116
Contig2423 63 0 62 0 0 0 1 0 0 0 -9 0 0 0 0.0057471 0 0 0 0.0062696 0 0 0 -0.6123711 0 0.7155172 0 0.7126437 0 0.992993 0 NaN 87
Contig2594 38 0 21 0 6 0 11 0 0 0 23 0 0.0620915 0 0.1143791 0 0.0641711 0 0.1176471 0 -0.3144577 0 -0.2791348 0 0.5392157 0 0.4509804 0 0.7449393 0 NaN 51
Contig2619 41 0 39 0 1 0 1 0 0 0 -9 0 0.0098039 0 0.0098039 0 0.0080214 0 0.0080214 0 1.6329906 0 1.6329906 0 0.5882353 0 0.5784314 0 0.9711934 0 NaN 68
Contig2684 23 0 14 0 3 0 6 0 0 0 10 0 0.014245 0 0.0270655 0 0.013986 0 0.027972 0 0.1676562 0 -0.3144577 0 0.1602564 0 0.1396011 0 0.7943262 0 NaN 117
Contig276 11 0 3 0 3 0 5 0 0 0 -9 0 0.0724638 0 0.115942 0 0.0711462 0 0.1185771 0 0.1676555 0 -0.212491 0 0.2608696 0 0.1666667 0 0.5027322 0 NaN 23
Contig27789 39 0 28 0 1 0 10 0 0 0 18 0 0.0070922 0 0.0585106 0 0.0058027 0 0.0580271 0 1.6329898 0 0.083378 0 0.3484043 0 0.3156028 0 0.8461081 0 NaN 94
Contig285 23 0 13 0 6 0 4 0 0 0 9 0 0.0472973 0 0.0315315 0 0.044226 0 0.029484 0 0.6738391 0 0.6501015 0 0.2331081 0 0.1936937 0 0.7374062 0 NaN 74
Contig28657 29 0 26 0 1 0 2 0 0 0 -9 0 0.0054945 0 0.010989 0 0.005994 0 0.011988 0 -0.6123711 0 -0.7098949 0 0.293956 0 0.2857143 0 0.9519451 0 NaN 91
Contig28817 28 0 26 0 1 0 1 0 0 0 -9 0 0.0052083 0 0.0039062 0 0.0042614 0 0.0042614 0 1.6329906 0 -0.6123711 0 0.2089844 0 0.2044271 0 0.9624521 0 NaN 128
Contig30560 11 0 9 0 0 0 2 0 0 0 -9 0 0 0 0.0166667 0 0 0 0.0181818 0 0 0 -0.7098949 0 0.175 0 0.1666667 0 0.9195402 0 NaN 60
Contig3138 132 0 110 0 7 0 15 0 0 0 35 0 0.0115132 0 0.0257675 0 0.0125598 0 0.0269139 0 -0.8173354 0 -0.4330601 0 0.3865131 0 0.3678728 0 0.9185489 0 NaN 304
Contig320 152 0 63 0 43 0 41 0 5 0 69 0 0.1015625 0 0.1022135 0 0.1022727 0 0.0980114 0 -0.0722482 0 0.4458485 0 0.3945312 0 0.2926432 0 0.6213928 0 NaN 256
Contig3476 23 0 23 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3484848 0 0.3484848 0 1 0 NaN 66
Contig355 46 0 40 0 1 0 5 0 0 0 9 0 0.0059524 0 0.0376984 0 0.0064935 0 0.0324675 0 -0.6123711 0 1.5405635 0 0.5119048 0 0.4900794 0 0.9276995 0 NaN 84
Contig358 58 0 41 0 8 0 9 0 0 0 25 0 0.0518519 0 0.0518519 0 0.0484849 0 0.0545455 0 0.6867269 0 -0.4915111 0 0.5388889 0 0.487037 0 0.8429487 0 NaN 90
Contig3588 20 0 14 0 6 0 0 0 0 0 9 0 0.1075269 0 0 0 0.1055718 0 0 0 0.1796903 0 0 0 0.5645161 0 0.5107527 0 0.8444445 0 NaN 31
Contig364 5 0 3 0 1 0 1 0 0 0 -9 0 0.0113636 0 0.0113636 0 0.0123967 0 0.0123967 0 -0.6123711 0 -0.6123711 0 0.0795455 0 0.0681818 0 0.7741935 0 NaN 44
Contig387 56 0 33 0 10 0 13 0 0 0 30 0 0.0277778 0 0.0355903 0 0.0284091 0 0.0369318 0 -0.2223426 0 -0.3674896 0 0.2226562 0 0.1909722 0 0.7749889 0 NaN 192
Contig3904 56 0 42 0 5 0 8 0 1 0 20 0 0.0349206 0 0.0492063 0 0.0311688 0 0.0467532 0 1.1679878 0 0.5222324 0 0.4690476 0 0.4269841 0 0.8529528 0 NaN 105
Contig3922 9 0 6 0 1 0 2 0 0 0 -9 0 0.0053763 0 0.0107527 0 0.0058651 0 0.0117302 0 -0.6123711 0 -0.7098949 0 0.0725806 0 0.0645161 0 0.8205128 0 NaN 93
Contig4016 39 0 23 0 6 0 9 0 1 0 18 0 0.0364583 0 0.0538194 0 0.0397727 0 0.0568182 0 -0.8173354 0 -0.528065 0 0.3059896 0 0.2608507 0 0.7675607 0 NaN 96
Contig4034 46 0 40 0 1 0 5 0 0 0 12 0 0.004065 0 0.0216802 0 0.0044346 0 0.0221729 0 -0.6123716 0 -0.2124918 0 0.3434959 0 0.3306233 0 0.936211 0 NaN 123
Contig4113 66 0 58 0 6 0 2 0 0 0 17 0 0.0208333 0 0.0054348 0 0.0177866 0 0.0059289 0 1.6621366 0 -0.7098949 0 0.3355978 0 0.3224638 0 0.9334644 0 NaN 184
Contig439 15 0 7 0 4 0 4 0 0 0 8 0 0.0503876 0 0.0503876 0 0.05074 0 0.05074 0 -0.0650107 0 -0.0650107 0 0.2674419 0 0.2170543 0 0.7111111 0 NaN 43
Contig4578 18 0 10 0 2 0 5 0 1 0 8 0 0.0292398 0 0.0584795 0 0.0287081 0 0.0574163 0 0.1676555 0 0.1796903 0 0.2324561 0 0.1885965 0 0.7107438 0 NaN 57
Contig473 211 0 76 0 62 0 67 0 6 0 99 0 0.0823928 0 0.0884123 0 0.0837267 0 0.089883 0 -0.1662696 0 -0.170855 0 0.3002257 0 0.2148232 0 0.5897237 0 NaN 443
Contig488 15 0 5 0 3 0 7 0 0 0 6 0 0.0384615 0 0.0897436 0 0.041958 0 0.0979021 0 -0.7544498 0 -0.8173354 0 0.2179487 0 0.1538461 0 0.5783132 0 NaN 39
Contig4968 27 0 15 0 6 0 6 0 0 0 14 0 0.0284238 0 0.0245478 0 0.02537 0 0.02537 0 1.1679878 0 -0.3144584 0 0.1492248 0 0.122739 0 0.7258835 0 NaN 129
