dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig1015 5 0 0 0 5 0 0 0 0 0 -9 0 0.0308642 0 0 0 0.03367 0 0 0 -0.7968436 0 0 0 0.0401235 0 0.0246914 0 0.477612 0 NaN 81
Contig10314 2 0 0 0 2 0 0 0 0 0 -9 0 0.0111111 0 0 0 0.0121212 0 0 0 -0.7098949 0 0 0 0.0166667 0 0.0111111 0 0.5333333 0 NaN 90
Contig1037 3 0 0 0 3 0 0 0 0 0 -9 0 0.0177305 0 0 0 0.0174081 0 0 0 0.1676562 0 0 0 0.0159574 0 0.0070922 0 0.3137255 0 NaN 94
Contig10434 2 0 0 0 0 0 0 0 2 0 -9 0 0.003268 0 0.003268 0 0.0035651 0 0.0035651 0 -0.7098949 0 -0.7098949 0 0.004085 0 0.000817 0 0.125 0 NaN 306
Contig10495 2 0 0 0 0 0 0 0 2 0 -9 0 0.0047619 0 0.0063492 0 0.0051948 0 0.0051948 0 -0.7098949 0 1.893054 0 0.0047619 0 -0.0007937 0 -0.0888888 0 NaN 210
Contig10601 3 0 0 0 2 0 0 0 1 0 -9 0 0.0064327 0 0.0017544 0 0.0057416 0 0.0019139 0 1.0897616 0 -0.6123711 0 0.0048246 0 0.000731 0 0.0925926 0 NaN 285
Contig10711 3 0 0 0 1 0 2 0 0 0 -9 0 0.008658 0 0.012987 0 0.0070838 0 0.0141677 0 1.6329906 0 -0.7098949 0 0.025974 0 0.0151515 0 0.4444445 0 NaN 77
Contig11050 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0277778 0 0 0 0.030303 0 0 0 -0.7098949 0 0.0138889 0 0 0 0 0 NaN 36
Contig11162 2 0 0 0 2 0 0 0 0 0 -9 0 0.027027 0 0 0 0.029484 0 0 0 -0.7098954 0 0 0 0.0405405 0 0.027027 0 0.5333334 0 NaN 37
Contig11244 5 0 0 0 5 0 0 0 0 0 -9 0 0.0179856 0 0 0 0.0196207 0 0 0 -0.7968436 0 0 0 0.0269784 0 0.0179856 0 0.5333334 0 NaN 139
Contig11507 2 0 0 0 1 0 1 0 0 0 -9 0 0.0047962 0 0.0047962 0 0.0039241 0 0.0039241 0 1.6329906 0 1.6329906 0 0.0071942 0 0.0023981 0 0.2222222 0 NaN 139
Contig11510 3 0 0 0 2 0 0 0 1 0 -9 0 0.0095238 0 0.0028571 0 0.0093506 0 0.0031169 0 0.1676562 0 -0.6123711 0 0.0057143 0 -0.0004762 0 -0.045977 0 NaN 175
Contig1153 3 0 0 0 3 0 0 0 0 0 -9 0 0.0117188 0 0 0 0.0127841 0 0 0 -0.7544498 0 0 0 0.0058594 0 0 0 0 0 NaN 128
Contig11610 2 0 0 0 2 0 0 0 0 0 -9 0 0.0033003 0 0 0 0.0027003 0 0 0 1.8930532 0 0 0 0.0024752 0 0.0008251 0 0.2222223 0 NaN 404
Contig11795 4 0 0 0 0 0 1 0 3 0 -9 0 0.0068027 0 0.0081633 0 0.006679 0 0.0089054 0 0.1676555 0 -0.7801223 0 0.0102041 0 0.0027211 0 0.1720431 0 NaN 245
Contig11804 2 0 0 0 2 0 0 0 0 0 -9 0 0.0454545 0 0 0 0.0495868 0 0 0 -0.7098949 0 0 0 0.0227273 0 0 0 -1e-07 0 NaN 22
Contig1185 3 0 0 0 1 0 1 0 1 0 -9 0 0.0092593 0 0.0092593 0 0.010101 0 0.010101 0 -0.7098949 0 -0.7098949 0 0.0081019 0 -0.0011574 0 -0.0769231 0 NaN 108
Contig12001 4 0 0 0 4 0 0 0 0 0 -9 0 0.0235294 0 0 0 0.0256684 0 0 0 -0.7801219 0 0 0 0.0176471 0 0.0058824 0 0.2222222 0 NaN 85
Contig12112 3 0 0 0 3 0 0 0 0 0 -9 0 0.0263158 0 0 0 0.0287081 0 0 0 -0.7544506 0 0 0 0.0394737 0 0.0263158 0 0.5333334 0 NaN 57
Contig12154 2 0 0 0 1 0 0 0 1 0 -9 0 0.0132576 0 0.0056818 0 0.0123967 0 0.0061983 0 0.5915791 0 -0.6123711 0 0.0127841 0 0.0033144 0 0.1666666 0 NaN 88
Contig12375 4 0 0 0 0 0 0 0 4 0 -9 0 0.0215054 0 0.0215054 0 0.0175953 0 0.0175953 0 2.0803261 0 2.0803261 0 0.016129 0 -0.0053763 0 -0.1666667 0 NaN 124
Contig12467 2 0 0 0 1 0 0 0 1 0 -9 0 0.0052553 0 0.003003 0 0.004914 0 0.002457 0 0.59158 0 1.6329906 0 0.0045045 0 0.0003754 0 0.0493826 0 NaN 222
Contig12532 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0040369 0 0 0 0.0037748 0 0 0 0.59158 0 0.0025952 0 0.0005767 0 0.1403509 0 NaN 289
Contig12618 2 0 0 0 0 0 1 0 1 0 -9 0 0.0054348 0 0.0108696 0 0.0059289 0 0.0118577 0 -0.6123711 0 -0.7098949 0 0.0067935 0 -0.0013587 0 -0.1052632 0 NaN 92
Contig12728 2 0 0 0 0 0 0 0 2 0 -9 0 0.0114943 0 0.0100575 0 0.0094044 0 0.0094044 0 1.893054 0 0.5915791 0 0.0086207 0 -0.0021552 0 -0.1290322 0 NaN 116
Contig1282 2 0 0 0 2 0 0 0 0 0 -9 0 0.0067568 0 0 0 0.007371 0 0 0 -0.7098954 0 0 0 0.0101351 0 0.0067568 0 0.5333334 0 NaN 148
Contig12844 2 0 1 0 1 0 0 0 0 0 -9 0 0.0055556 0 0 0 0.0060606 0 0 0 -0.6123711 0 0 0 0.0194444 0 0.0166667 0 0.7741935 0 NaN 90
Contig12971 2 0 0 0 2 0 0 0 0 0 -9 0 0.0027516 0 0 0 0.0025729 0 0 0 0.5915791 0 0 0 0.0017689 0 0.0003931 0 0.1403509 0 NaN 424
Contig1304 2 0 0 0 0 0 0 0 2 0 -9 0 0.010101 0 0.010101 0 0.0110193 0 0.0110193 0 -0.7098949 0 -0.7098949 0 0.0075758 0 -0.0025253 0 -0.1666667 0 NaN 99
