dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig100142 15 0 8 0 2 0 5 0 0 0 5 0 0.0141844 0 0.0336879 0 0.0116054 0 0.0290135 0 1.8930532 0 1.5405643 0 0.1196809 0 0.0957447 0 0.6956522 0 NaN 94
Contig10127 7 0 5 0 2 0 0 0 0 0 -9 0 0.0289855 0 0 0 0.0237154 0 0 0 1.893054 0 0 0 0.1304348 0 0.115942 0 0.8205128 0 NaN 46
Contig102321 7 0 5 0 1 0 1 0 0 0 -9 0 0.0144928 0 0.0108696 0 0.0118577 0 0.0118577 0 1.6329906 0 -0.6123711 0 0.125 0 0.1123188 0 0.8350168 0 NaN 46
Contig102612 6 0 3 0 3 0 0 0 0 0 -9 0 0.0441176 0 0 0 0.0481283 0 0 0 -0.7544498 0 0 0 0.125 0 0.1029412 0 0.7272727 0 NaN 34
Contig102762 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0625 0 0.0625 0 1 0 NaN 32
Contig10368 5 0 3 0 2 0 0 0 0 0 -9 0 0.0343137 0 0 0 0.0320856 0 0 0 0.59158 0 0 0 0.1102941 0 0.0931373 0 0.7562189 0 NaN 34
Contig103838 11 0 6 0 2 0 3 0 0 0 7 0 0.0176768 0 0.0227273 0 0.0165289 0 0.0247934 0 0.59158 0 -0.7544498 0 0.1287879 0 0.1085858 0 0.7543859 0 NaN 66
Contig109400 4 0 2 0 0 0 2 0 0 0 -9 0 0 0 0.0285714 0 0 0 0.0311688 0 0 0 -0.7098949 0 0.0714286 0 0.0571429 0 0.6956522 0 NaN 35
Contig110322 6 0 5 0 0 0 1 0 0 0 -9 0 0 0 0.0104167 0 0 0 0.0113636 0 0 0 -0.6123711 0 0.109375 0 0.1041667 0 0.9195402 0 NaN 48
Contig110461 5 0 3 0 2 0 0 0 0 0 -9 0 0.0178571 0 0 0 0.0194805 0 0 0 -0.7098949 0 0 0 0.0625 0 0.0535714 0 0.7741935 0 NaN 56
Contig111261 14 0 7 0 4 0 3 0 0 0 10 0 0.0238095 0 0.0198413 0 0.025974 0 0.0194805 0 -0.7801219 0 0.1676562 0 0.1190476 0 0.0972222 0 0.7179487 0 NaN 84
