dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig1 2 0 0 0 2 0 0 0 0 0 -9 0 0.0102339 0 0 0 0.0095694 0 0 0 0.5915791 0 0 0 0.0065789 0 0.001462 0 0.1403509 0 NaN 114
Contig1001 23 0 0 0 7 0 7 0 9 0 -9 0 0.0382775 0 0.039075 0 0.0417573 0 0.0417573 0 -0.8490273 0 -0.6544577 0 0.0334928 0 -0.0051834 0 -0.0829346 0 NaN 209
Contig10013 2 0 0 0 1 0 1 0 0 0 -9 0 0.0037313 0 0.0037313 0 0.0040706 0 0.0040706 0 -0.6123711 0 -0.6123711 0 0.0074627 0 0.0037313 0 0.3636364 0 NaN 134
Contig10026 3 0 0 0 1 0 1 0 1 0 -9 0 0.0074786 0 0.0064103 0 0.006993 0 0.006993 0 0.5915791 0 -0.7098949 0 0.0064103 0 -0.0005342 0 -0.045977 0 NaN 156
Contig10027 25 0 0 0 5 0 18 0 2 0 -9 0 0.0079194 0 0.0233981 0 0.0082466 0 0.0235618 0 -0.389207 0 -0.0711905 0 0.0202484 0 0.0045896 0 0.1434599 0 NaN 463
Contig1003 24 0 0 0 11 0 5 0 8 0 -9 0 0.0229358 0 0.0152905 0 0.0237698 0 0.0162636 0 -0.3592328 0 -0.6052782 0 0.0186353 0 -0.0004778 0 -0.0144928 0 NaN 436
Contig10049 4 0 1 0 1 0 0 0 2 0 -9 0 0.0145985 0 0.0072993 0 0.0119443 0 0.0079628 0 2.011867 0 -0.7098949 0 0.0182482 0 0.0072993 0 0.2758621 0 NaN 137
Contig1005 10 0 0 0 1 0 5 0 4 0 -9 0 0.0365854 0 0.0650406 0 0.0332594 0 0.059867 0 0.9562117 0 0.8601455 0 0.0609756 0 0.0101626 0 0.1025642 0 NaN 82
Contig1006 6 0 0 0 3 0 3 0 0 0 -9 0 0.0048701 0 0.0054113 0 0.0053129 0 0.0053129 0 -0.7544498 0 0.1676562 0 0.0056818 0 0.0005411 0 0.0567375 0 NaN 308
Contig10071 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0322581 0 0 0 0.026393 0 0 0 2.011867 0 0.0241935 0 0.0080645 0 0.2222222 0 NaN 62
Contig10072 12 0 0 0 4 0 1 0 7 0 -9 0 0.0422078 0 0.0270563 0 0.038961 0 0.0283353 0 0.8374061 0 -0.446372 0 0.0324675 0 -0.0021645 0 -0.0370371 0 NaN 154
Contig10091 2 0 0 0 2 0 0 0 0 0 -9 0 0.0169492 0 0 0 0.01849 0 0 0 -0.7098949 0 0 0 0.0084746 0 0 0 0 0 NaN 59
Contig10093 2 0 0 0 1 0 0 0 1 0 -9 0 0.0111111 0 0.0074074 0 0.0121212 0 0.0060606 0 -0.7098949 0 1.6329906 0 0.0083333 0 -0.0009259 0 -0.060606 0 NaN 90
