dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10 8 0 5 0 3 0 0 0 0 0 -9 0 0.0073746 0 0 0 0.0072405 0 0 0 0.1676555 0 0 0 0.0287611 0 0.0250737 0 0.7953216 0 NaN 226
Contig100 8 0 8 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0522876 0 0.0522876 0 1 0 NaN 153
Contig101 4 0 2 0 2 0 0 0 0 0 -9 0 0.0176768 0 0 0 0.0165289 0 0 0 0.59158 0 0 0 0.0416667 0 0.0328283 0 0.6797385 0 NaN 66
Contig103 9 0 9 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0286624 0 0.0286624 0 1 0 NaN 314
Contig1033 3 0 3 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.037037 0 0.037037 0 1 0 NaN 81
Contig104 8 0 7 0 0 0 1 0 0 0 -9 0 0 0 0.002451 0 0 0 0.0026738 0 0 0 -0.6123711 0 0.0355392 0 0.0343137 0 0.9411765 0 NaN 204
Contig1047 5 0 5 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.106383 0 0.106383 0 1 0 NaN 47
Contig105 8 0 7 0 1 0 0 0 0 0 -9 0 0.0030675 0 0 0 0.0033463 0 0 0 -0.6123711 0 0 0 0.0444785 0 0.0429448 0 0.9411765 0 NaN 163
Contig1065 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0166667 0 0 0 0.0181818 0 0 0 -0.7098949 0 0.0166667 0 0.0083333 0 0.3636363 0 NaN 60
Contig1072 2 0 1 0 0 0 1 0 0 0 -9 0 0 0 0.0166667 0 0 0 0.0181818 0 0 0 -0.6123711 0 0.0416667 0 0.0333333 0 0.6956522 0 NaN 30
Contig1084 14 0 9 0 3 0 2 0 0 0 7 0 0.0080515 0 0.0056361 0 0.0079051 0 0.0052701 0 0.1676555 0 0.5915791 0 0.0519324 0 0.0450886 0 0.7901235 0 NaN 207
Contig10852 6 0 2 0 1 0 3 0 0 0 -9 0 0.0035461 0 0.0118203 0 0.0038685 0 0.0116054 0 -0.6123716 0 0.1676562 0 0.0265957 0 0.0189125 0 0.5844749 0 NaN 141
Contig1095 6 0 5 0 1 0 0 0 0 0 -9 0 0.0111111 0 0 0 0.0090909 0 0 0 1.6329906 0 0 0 0.0916667 0 0.0861111 0 0.8985507 0 NaN 60
Contig1107 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0454545 0 0.0454545 0 1 0 NaN 44
Contig1117 5 0 2 0 3 0 0 0 0 0 -9 0 0.0306122 0 0 0 0.0333952 0 0 0 -0.7544498 0 0 0 0.0663265 0 0.0510204 0 0.6557377 0 NaN 49
Contig112 10 0 8 0 0 0 2 0 0 0 -9 0 0 0 0.0045872 0 0 0 0.0050042 0 0 0 -0.7098949 0 0.0412844 0 0.0389908 0 0.9066666 0 NaN 218
Contig1128 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0.04 0 1 0 NaN 100
Contig114 26 0 19 0 5 0 2 0 0 0 12 0 0.0064257 0 0.0024096 0 0.0065717 0 0.0026287 0 -0.212491 0 -0.7098949 0 0.0518072 0 0.0473896 0 0.859745 0 NaN 415
Contig11548 2 0 1 0 1 0 0 0 0 0 -9 0 0.0083333 0 0 0 0.0090909 0 0 0 -0.6123711 0 0 0 0.0208333 0 0.0166667 0 0.6956522 0 NaN 60
Contig1162 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0152672 0 0.0152672 0 1 0 NaN 262
Contig11789 3 0 0 0 3 0 0 0 0 0 -9 0 0.0320513 0 0 0 0.0314685 0 0 0 0.1676562 0 0 0 0.0288462 0 0.0128205 0 0.3137255 0 NaN 52
Contig119 7 0 5 0 1 0 1 0 0 0 -9 0 0.004329 0 0.0032468 0 0.0035419 0 0.0035419 0 1.6329906 0 -0.6123711 0 0.0373377 0 0.0335498 0 0.8350168 0 NaN 154
Contig1194 5 0 3 0 1 0 1 0 0 0 -9 0 0.004 0 0.004 0 0.0043636 0 0.0043636 0 -0.6123711 0 -0.6123711 0 0.028 0 0.024 0 0.7741935 0 NaN 125
Contig1201 22 0 13 0 8 0 1 0 0 0 11 0 0.0133333 0 0.0015385 0 0.0134266 0 0.0016783 0 -0.0686731 0 -0.6123711 0 0.0515385 0 0.0441026 0 0.7721661 0 NaN 325
Contig121 6 0 4 0 0 0 2 0 0 0 -9 0 0 0 0.0074627 0 0 0 0.0081411 0 0 0 -0.7098949 0 0.0335821 0 0.0298507 0 0.8205128 0 NaN 134
Contig1220 3 0 3 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0326087 0 0.0326087 0 1 0 NaN 92
Contig1231 7 0 4 0 1 0 2 0 0 0 -9 0 0.0072464 0 0.0169082 0 0.0079051 0 0.0158103 0 -0.6123711 0 0.5915791 0 0.0724638 0 0.0603865 0 0.7407408 0 NaN 69
Contig1235 9 0 9 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0396476 0 0.0396476 0 1 0 NaN 227
Contig1245 9 0 8 0 1 0 0 0 0 0 -9 0 0.0045455 0 0 0 0.0049587 0 0 0 -0.6123716 0 0 0 0.0795455 0 0.0772727 0 0.951049 0 NaN 110
Contig1251 3 0 2 0 1 0 0 0 0 0 -9 0 0.0081301 0 0 0 0.0066519 0 0 0 1.6329898 0 0 0 0.0304878 0 0.0264228 0 0.7878788 0 NaN 82
Contig1255 3 0 1 0 1 0 1 0 0 0 -9 0 0.009434 0 0.009434 0 0.0102916 0 0.0102916 0 -0.6123711 0 -0.6123711 0 0.0283019 0 0.0188679 0 0.5333333 0 NaN 53
Contig12569 5 0 3 0 0 0 2 0 0 0 -9 0 0 0 0.0112179 0 0 0 0.0104895 0 0 0 0.59158 0 0.0360577 0 0.0304487 0 0.7562189 0 NaN 104
Contig126 5 0 3 0 1 0 1 0 0 0 -9 0 0.0047962 0 0.0035971 0 0.0039241 0 0.0039241 0 1.6329906 0 -0.6123711 0 0.0305755 0 0.0263789 0 0.7822222 0 NaN 139
Contig1305 26 0 1 0 24 0 1 0 0 0 -9 0 0.0697674 0 0.002907 0 0.0761099 0 0.0031712 0 -0.8578638 0 -0.6123703 0 0.056686 0 0.0203488 0 0.2424243 0 NaN 172
Contig13166 5 0 4 0 1 0 0 0 0 0 -9 0 0.0196078 0 0 0 0.0160428 0 0 0 1.6329906 0 0 0 0.1323529 0 0.122549 0 0.877193 0 NaN 34
Contig13256 10 0 6 0 3 0 1 0 0 0 -9 0 0.0052817 0 0.0023474 0 0.0057618 0 0.0019206 0 -0.7544498 0 1.6329906 0 0.0290493 0 0.0252347 0 0.7908046 0 NaN 284
Contig133 41 0 29 0 8 0 4 0 0 0 19 0 0.0049964 0 0.0024982 0 0.004672 0 0.002336 0 0.6867258 0 0.6501015 0 0.0358672 0 0.0321199 0 0.8304498 0 NaN 934
Contig1331 15 0 9 0 4 0 2 0 0 0 9 0 0.0079681 0 0.0053121 0 0.0086925 0 0.0043463 0 -0.7801219 0 1.893054 0 0.0458167 0 0.0391766 0 0.7712418 0 NaN 251
Contig13350 5 0 3 0 2 0 0 0 0 0 -9 0 0.0085784 0 0 0 0.0080214 0 0 0 0.59158 0 0 0 0.0275735 0 0.0232843 0 0.7562189 0 NaN 136
Contig1348 7 0 2 0 4 0 1 0 0 0 -9 0 0.030303 0 0.0064935 0 0.0283353 0 0.0070838 0 0.6501026 0 -0.6123711 0 0.0551948 0 0.0367965 0 0.5333334 0 NaN 77
Contig135 7 0 3 0 2 0 2 0 0 0 -9 0 0.0072993 0 0.0085158 0 0.0079628 0 0.0079628 0 -0.7098949 0 0.59158 0 0.0310219 0 0.0231144 0 0.6255144 0 NaN 137
Contig1352 11 0 10 0 1 0 0 0 0 0 -9 0 0.0022727 0 0 0 0.0024793 0 0 0 -0.6123716 0 0 0 0.0465909 0 0.0454545 0 0.9580838 0 NaN 220
Contig1362 17 0 3 0 14 0 0 0 0 0 -9 0 0.0460526 0 0 0 0.0502392 0 0 0 -0.8453224 0 0 0 0.0493421 0 0.0263158 0 0.3950617 0 NaN 152
Contig1371 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0314961 0 0.0314961 0 1 0 NaN 127
Contig1373 4 0 3 0 1 0 0 0 0 0 -9 0 0.0019157 0 0 0 0.0020899 0 0 0 -0.6123711 0 0 0 0.0124521 0 0.0114943 0 0.8727273 0 NaN 261
Contig138 2 0 1 0 1 0 0 0 0 0 -9 0 0.0185185 0 0 0 0.0151515 0 0 0 1.6329906 0 0 0 0.0416667 0 0.0324074 0 0.6666667 0 NaN 36
Contig1398 8 0 5 0 1 0 2 0 0 0 -9 0 0.003992 0 0.005988 0 0.0032662 0 0.0065324 0 1.6329906 0 -0.7098949 0 0.0389222 0 0.0339321 0 0.7953216 0 NaN 167
Contig14 10 0 6 0 3 0 1 0 0 0 -9 0 0.0086705 0 0.0028902 0 0.0094587 0 0.0031529 0 -0.7544498 0 -0.6123711 0 0.0433526 0 0.0375723 0 0.7878788 0 NaN 173
Contig1404 10 0 10 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0396825 0 0.0396825 0 1 0 NaN 252
Contig1406 5 0 3 0 1 0 1 0 0 0 -9 0 0.004902 0 0.004902 0 0.0053476 0 0.0053476 0 -0.6123711 0 -0.6123711 0 0.0343137 0 0.0294118 0 0.7741935 0 NaN 102
Contig1424 10 0 9 0 0 0 1 0 0 0 -9 0 0 0 0.0061162 0 0 0 0.0050042 0 0 0 1.6329898 0 0.087156 0 0.0840979 0 0.9401709 0 NaN 109
Contig14318 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0333333 0 0.0333333 0 1 0 NaN 60
Contig1438 8 0 5 0 3 0 0 0 0 0 -9 0 0.0062657 0 0 0 0.0061517 0 0 0 0.1676555 0 0 0 0.0225564 0 0.0194236 0 0.7798742 0 NaN 266
Contig144 5 0 5 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0318471 0 0.0318471 0 1 0 NaN 157
Contig1440 8 0 0 0 8 0 0 0 0 0 -9 0 0.0677966 0 0 0 0.0739599 0 0 0 -0.8240709 0 0 0 0.0423729 0 0.0084746 0 0.125 0 NaN 59
Contig14445 3 0 0 0 2 0 1 0 0 0 -9 0 0.0232558 0 0.0116279 0 0.02537 0 0.012685 0 -0.7098939 0 -0.6123703 0 0.0174419 0 0 0 0 0 NaN 43
Contig145 45 0 45 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8823529 0 0.8823529 0 1 0 NaN 51
Contig14590 7 0 6 0 0 0 1 0 0 0 -9 0 0 0 0.0033113 0 0 0 0.0036123 0 0 0 -0.6123703 0 0.0413907 0 0.0397351 0 0.9320388 0 NaN 151
Contig14598 4 0 2 0 2 0 0 0 0 0 -9 0 0.0216049 0 0 0 0.020202 0 0 0 0.5915791 0 0 0 0.0509259 0 0.0401235 0 0.6797385 0 NaN 54
Contig149 14 0 13 0 1 0 0 0 0 0 -9 0 0.0018315 0 0 0 0.001998 0 0 0 -0.6123711 0 0 0 0.0503663 0 0.0494506 0 0.9686099 0 NaN 273
Contig1508 10 0 4 0 4 0 2 0 0 0 -9 0 0.0098485 0 0.005303 0 0.0099174 0 0.0049587 0 -0.0650096 0 0.5915791 0 0.0272727 0 0.019697 0 0.5977011 0 NaN 220
Contig153 31 0 5 0 26 0 0 0 0 0 8 0 0.0793173 0 0 0 0.0854326 0 0 0 -0.7380717 0 0 0 0.0737952 0 0.0341365 0 0.329697 0 NaN 166
Contig1566 21 0 13 0 4 0 4 0 0 0 10 0 0.0047425 0 0.0044038 0 0.0044346 0 0.0044346 0 0.6501015 0 -0.0650096 0 0.0320122 0 0.027439 0 0.7741935 0 NaN 492
Contig1569 6 0 6 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.048 0 0.048 0 1 0 NaN 125
Contig1573 2 0 1 0 1 0 0 0 0 0 -9 0 0.0128205 0 0 0 0.013986 0 0 0 -0.6123711 0 0 0 0.0448718 0 0.0384615 0 0.7741935 0 NaN 39
Contig159 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0222222 0 0.0222222 0 1 0 NaN 180
Contig1597 7 0 4 0 2 0 1 0 0 0 -9 0 0.006986 0 0.003992 0 0.0065324 0 0.0032662 0 0.5915791 0 1.6329906 0 0.0314371 0 0.0259481 0 0.7298245 0 NaN 167
Contig1601 8 0 7 0 0 0 1 0 0 0 -9 0 0 0 0.0045351 0 0 0 0.0037106 0 0 0 1.6329906 0 0.0510204 0 0.0487528 0 0.9247312 0 NaN 147
Contig1629 6 0 3 0 2 0 1 0 0 0 -9 0 0.0042735 0 0.0018315 0 0.003996 0 0.001998 0 0.59158 0 -0.6123711 0 0.014652 0 0.0115995 0 0.6846847 0 NaN 273
Contig1637 5 0 4 0 1 0 0 0 0 0 -9 0 0.005814 0 0 0 0.0063425 0 0 0 -0.6123703 0 0 0 0.0494186 0 0.0465116 0 0.9014084 0 NaN 86
Contig164 11 0 7 0 4 0 0 0 0 0 -9 0 0.0113438 0 0 0 0.0114231 0 0 0 -0.0650107 0 0 0 0.0431937 0 0.0375218 0 0.7908046 0 NaN 191
Contig1642 7 0 6 0 1 0 0 0 0 0 -9 0 0.0071685 0 0 0 0.0058651 0 0 0 1.6329906 0 0 0 0.0698925 0 0.0663082 0 0.9135802 0 NaN 93
