dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig100323 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0116959 0 0.0116959 0 1 0 NaN 171
Contig100434 4 0 2 0 1 0 1 0 0 0 -9 0 0.0039683 0 0.005291 0 0.004329 0 0.004329 0 -0.6123711 0 1.6329906 0 0.0257937 0 0.021164 0 0.7231638 0 NaN 126
Contig100548 8 0 7 0 0 0 1 0 0 0 -9 0 0 0 0.0011635 0 0 0 0.0009519 0 0 0 1.6329906 0 0.013089 0 0.0125073 0 0.9247312 0 NaN 573
Contig100658 3 0 0 0 1 0 2 0 0 0 -9 0 0.0033333 0 0.0088889 0 0.0036364 0 0.0072727 0 -0.6123716 0 1.893054 0 0.0083333 0 0.0022222 0 0.172043 0 NaN 150
Contig100806 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0143885 0 0.0143885 0 1 0 NaN 139
Contig100883 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0344828 0 0.0344828 0 1 0 NaN 58
Contig100901 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0073529 0 0.0073529 0 1 0 NaN 272
Contig101086 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0740741 0 0.0740741 0 1 0 NaN 27
Contig101636 4 0 1 0 0 0 3 0 0 0 -9 0 0 0 0.0055147 0 0 0 0.006016 0 0 0 -0.7544498 0 0.0082721 0 0.0055147 0 0.5333333 0 NaN 272
Contig101763 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021164 0 0.021164 0 1 0 NaN 189
Contig101814 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0089286 0 0.0089286 0 1 0 NaN 224
Contig101833 3 0 3 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0535714 0 0.0535714 0 1 0 NaN 56
Contig101849 6 0 6 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0213523 0 0.0213523 0 1 0 NaN 281
Contig101869 4 0 2 0 1 0 1 0 0 0 -9 0 0.0011933 0 0.0011933 0 0.0013018 0 0.0013018 0 -0.6123711 0 -0.6123711 0 0.0071599 0 0.0059666 0 0.7407407 0 NaN 419
Contig101953 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0087527 0 0.0087527 0 1 0 NaN 457
Contig101978 3 0 2 0 1 0 0 0 0 0 -9 0 0.0038314 0 0 0 0.0031348 0 0 0 1.6329898 0 0 0 0.0143678 0 0.0124521 0 0.7878788 0 NaN 174
Contig102053 3 0 3 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0141509 0 0.0141509 0 1 0 NaN 212
Contig102148 5 0 3 0 0 0 2 0 0 0 -9 0 0 0 0.0037037 0 0 0 0.0030303 0 0 0 1.893054 0 0.0111111 0 0.0092593 0 0.7407407 0 NaN 360
Contig102341 5 0 5 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0127877 0 0.0127877 0 1 0 NaN 391
Contig102624 4 0 3 0 0 0 1 0 0 0 -9 0 0 0 0.0015974 0 0 0 0.0017427 0 0 0 -0.6123711 0 0.0119808 0 0.0111821 0 0.8888889 0 NaN 313
Contig102936 5 0 3 0 2 0 0 0 0 0 -9 0 0.0034965 0 0 0 0.0038144 0 0 0 -0.7098949 0 0 0 0.013986 0 0.0122378 0 0.8 0 NaN 286
Contig103113 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0222222 0 0.0222222 0 1 0 NaN 90
